id,name,category,created_at,updated_at,scientific_name,distribution,habitat,size,depth_range,description
15,セグロチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon ephippium,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、岩礁域、15m以浅の穏やかな所,全長約15cm,15m,チョウチョウウオの仲間で、体の中央から背中にかけてある大きな黒い斑が、馬の鞍（くら）のように見えることが特徴。サンゴ礁でペアで行動していることが多い。雑食性で、サンゴのポリプや小動物などを食べる。比較的大きく、見応えがある。
16,コクテンカタギ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon guentheri,南日本の太平洋岸、琉球列島、小笠原諸島；西部太平洋の温・熱帯域,岩礁域、サンゴ礁域,全長約10cm,25m,チョウチョウウオの仲間で、サンゴ礁や岩礁域のやや深い場所で見られます。体は白く、後方に向かって黄色みが強くなり、体中に小さな黒い点々が並んでいるのが特徴です。大きな群れを作ることが多く、潮通しの良い場所で中層を漂いながらプランクトンを食べている姿は壮観です。他のチョウチョウウオ類と混泳していることもあります。
17,ミゾレチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon kleinii,南日本の太平洋岸、琉球列島；インド・汎太平洋,岩礁域、サンゴ礁域,全長約10cm,10m,チョウチョウウオの仲間ですが、サンゴのポリプだけでなく藻類やプランクトンも食べる雑食性です。そのため、様々な環境で見られます。黄色みがかった体に細かい点が散らばり、これが「みぞれ」のように見えることが名前の由来です。目の周りを通る黒い帯が特徴です。
18,ニセフウライチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon lineolatus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約30cm,2-50m,チョウチョウウオの仲間では最大級の種。白い体に走る黒い縦縞と、頭部を横切る太い黒帯が特徴的。サンゴ礁域で単独かペアで行動し、サンゴのポリプや小さな無脊椎動物を捕食する。比較的広い範囲を泳ぎ回るため、リーフエッジなどで見かけることが多い。堂々とした泳ぎ方が印象的。
19,チョウハン,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon lunula,南日本の太平洋岸、琉球列島；インド・太平洋、大西洋南東部,岩礁域、サンゴ礁域,全長約11cm,10m,チョウチョウウオの仲間で、体の後半にある大きな黒い斑紋（鞍状斑）が特徴です。サンゴ礁や岩礁域に生息し、昼間はペアで行動しますが、夜になると単独で岩陰などで休みます。雑食性で、サンゴのポリプや甲殻類、藻類など様々なものを食べます。夜行性の一面もあり、ナイトダイビングでは活発に餌を探す姿が見られます。
20,アケボノチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon melannotus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約11cm,10m,チョウチョウウオの仲間で、白い体に黒い斜めの帯模様が入るのが特徴。サンゴのポリプを主食とする。ミドリイシなど、特定のサンゴ群落の周辺でペアまたは小さな群れで見られる。夜間はサンゴの枝の間などで休み、体色を変化させる。驚くとサンゴの隙間に素早く隠れる。
22,ベニオチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon mertensii,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域,全長約10cm,25m,チョウチョウウオの仲間で、やや深めのサンゴ礁の斜面やドロップオフで見られる。白い体に「へ」の字型のオレンジ色の縞模様が並び、尾ビレの付け根に黒い斑点があるのが特徴。単独かペアで行動する。近縁種のウミヅキチョウチョウウオとは、尾ビレの黒い帯の有無で見分けることができる。
23,シラコダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon nippon,南日本の太平洋岸、朝鮮半島南部、台湾、フィリピン北部,岩礁域,全長約10cm,10m,チョウチョウウオの仲間ですが、主に温帯域の岩礁に生息する日本固有種です。白い体に体の後方が黒く、尾ビレが黄色いという特徴的な配色をしています。サンゴのポリプではなく、岩に付着したゴカイや甲殻類などを食べます。ペアで行動していることが多く、ダイバーにも比較的近寄りやすい魚です。
24,ヤスジチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon octofasciatus,高知県以南〜琉球列島；インド・西太平洋,サンゴ礁域,全長約10cm,10m,チョウチョウウオの仲間で、黄色い体に8本の黒い縦縞が入るのが特徴です。内湾のサンゴ礁域や、港の中など、比較的穏やかな環境を好みます。サンゴのポリプを主食としており、ペアや小さな群れでサンゴの周りを泳ぎながらついばむ姿が見られます。サンゴの状態が良い場所で観察しやすい魚です。
25,ハナグロチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon ornatissimus,八丈島、和歌山県以南〜琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,全長約13cm,15m,チョウチョウウオの仲間で、白い体にオレンジ色の斜め帯が何本も走る美しい模様を持つ。サンゴ礁域に生息し、特にミドリイシなどの枝状サンゴやテーブルサンゴのポリプを主食とする。このため、健全なサンゴ群落がある場所で見られることが多い。通常はペアで行動し、サンゴをつつく姿が観察できる。
26,スミツキトノサマダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon plebeius,南日本の太平洋岸、琉球列島；東部インド洋～西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約10cm,10m,チョウチョウウオの仲間で、サンゴのポリプを主食とする。体後方の大きな黒い斑点が特徴。サンゴの豊富な場所でペアで行動していることが多い。サンゴの状態の指標となる生物（指標生物）としても知られている。警戒心はやや強い。
27,シテンチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon quadrimaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域、水のきれいな潮通しのよい礁斜面,全長約12cm,20m,チョウチョウウオの仲間で、黄色い体と背中にある４つの白い斑点が目印です。主にミドリイシなどサンゴのポリプを好んで食べます。サンゴが豊かな礁斜面で、単独かつがいで行動している姿がよく観察されます。サンゴの枝の間を縫うように泳ぎながら食事をする様子は、観察のしがいがあります。
28,アミチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon rafflesii,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、サンゴ礁の浅所,全長約12cm,5m,チョウチョウウオの仲間。黄色い体に大きな網目模様が広がり、後頭部に黒い斑点があるのが特徴。サンゴが豊富な浅い海域を好み、単独またはペアで行動している。雑食性で、サンゴのポリプのほか、ゴカイや甲殻類なども食べる。比較的広範囲を泳ぎ回るため、観察しやすい。
29,シチセンチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon punctatofasciatus,八丈島、琉球列島、小笠原諸島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約11cm,5m,チョウチョウウオの仲間で、黄色い体に「く」の字形の黒い縦縞が7本並び、尾鰭の付け根に目玉のような黒い斑点があるのが特徴です。サンゴ礁に生息し、主にサンゴのポリプを食べます。単独またはペアで行動し、サンゴの周りを優雅に泳いでいます。
30,ハクテンカタギ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon reticulatus,八丈島、高知県、琉球列島、小笠原諸島；中・西部太平洋の熱帯域,サンゴ礁域,全長約12cm,10m,チョウチョウウオの仲間。黒っぽい体色に網目模様が特徴で、後方にある大きな白い斑点がよく目立つ。サンゴのポリプを主食とするため、健全なサンゴ礁域で見られる。主にペアで行動し、寄り添って泳ぐ姿が観察される。他のチョウチョウウオに比べて、やや警戒心が強い。
31,テングチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon selene,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約14cm,25m,チョウチョウウオの仲間で、黄色い体に三日月型の黒い斑紋が複数入るのが特徴です。比較的深いサンゴ礁の斜面やドロップオフで見られ、単独またはペアで行動します。他のチョウチョウウオと比べてやや深い場所を好む傾向があります。海底近くを泳ぎながら、岩やサンゴの表面についた小動物などを探して食べています。
32,トノサマダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon speculum,南日本の太平洋岸、琉球列島；インド・西太平洋,岩礁域、サンゴ礁域、礁池内の穏やかな所,全長約13cm,10m,チョウチョウウオの仲間で、黄色い体に大きな黒い斑紋が一つだけあるのが特徴です。この斑紋が殿様の家紋のように見えることから名付けられました。サンゴ礁域に生息し、主にサンゴのポリプを食べます。縄張り意識が強く、単独またはペアで行動します。他のチョウチョウウオを追い払う姿が見られることもあります。
33,ヤリカタギ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon trifascialis,南日本太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約14cm,10m,チョウチョウウオの仲間で、ミドリイシなどのテーブル状サンゴを縄張りにして生活します。白地に「く」の字形の黒い縞模様が特徴です。縄張り意識が非常に強く、他の魚が近づくと激しく追い払います。サンゴのポリプを主食とするため、サンゴの状態が良い場所でしか見ることができません。
34,ミスジチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon lunulatus,南日本の太平洋岸、琉球列島；東部,岩礁域、サンゴ礁域,全長約12cm,5m,チョウチョウウオの仲間で、サンゴのポリプを主食とします。体に沿って走る複数の斜めの縞模様が特徴です。よく似たアミメチョウチョウウオとは、尾ビレの付け根の黒い模様の有無で見分けられます。常にペアで行動し、サンゴの周りを熱心に餌を探して泳ぎ回っています。
35,スダレチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon ulietensis,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域、サンゴ礁外縁,全長約12cm,15m,チョウチョウウオの仲間で、白い体に「すだれ」のような斜めの黒い縞模様が入るのが特徴。サンゴ礁や岩礁域でペアまたは小さな群れで行動する。雑食性で、サンゴのポリプや付着生物などを食べる。比較的ダイバーを恐れないため観察しやすい。
36,イッテンチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon unimaculatus,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋〜中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約12cm,15m,チョウチョウウオの仲間で、サンゴ礁や岩礁域でペアで行動していることが多いです。白い体に、背中の中央にある大きな黒い斑点が名前の由来です。この斑点は、捕食者の目を欺くための眼状紋と考えられています。サンゴのポリプや小型の甲殻類などを食べます。ダイバーにも比較的慣れやすい魚です。
37,フウライチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon vagabundus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約23cm,3-30m,チョウチョウウオの仲間で、サンゴ礁や岩礁域で広く見られる。白い体に「く」の字形の黒い線が並び、体の後方に太い黒帯、目を通る黒帯があるのが特徴。雑食性で、サンゴのポリプや藻類、小型の甲殻類などを食べる。ペアで行動していることが多く、ダイビング中に1匹見つけたら、近くにもう1匹いないか探してみるとよい。
38,ツキチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon wiebeli,南日本の太平洋岸、琉球列島、朝鮮半島、台湾～タイランド湾までの南シナ海,岩礁域、サンゴ礁域,全長約20cm,5m,チョウチョウウオの仲間で、黄色い体に目の後ろから背ビレにかけて黒い帯が走るのが特徴です。岩礁域やサンゴ礁に生息し、ペアで行動していることが多いです。主に岩に付着した藻類や小さな無脊椎動物を食べます。他のチョウチョウウオの群れに混じっていることもあります。日本の温帯域でも見られるポピュラーな種です。
39,アミメチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon xanthurus,南日本の太平洋岸、琉球列島；西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約10cm,20m,チョウチョウウオの仲間。白い体に斜めに走る網目模様と、黄色い尾びれが特徴。サンゴ礁の斜面やガレ場で見られ、単独またはペアで行動する。サンゴのポリプや底生の小動物を食べる。他のチョウチョウウオ類と混泳していることもあり、その美しい模様は水中でもよく目立つ。
40,オウギチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon meyeri,琉球列島；インド・汎太平洋,サンゴ礁域,全長約12cm,10m,チョウチョウウオの仲間で、白地に黒い斜めの帯模様が扇のように入るのが特徴です。サンゴ礁域に生息しますが、個体数はあまり多くありません。主にサンゴのポリプを食べて生活しており、単独かペアで行動します。サンゴの群落を探すと、ついばむように食事をしている姿を見つけられることがあります。
41,レモンチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chaetodon semeion,和歌山県以南～琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約13cm,10m,チョウチョウウオの仲間で、黄色い体に大きな黒い斑点が一つあるのが特徴です。サンゴが豊かな場所に単独またはペアで生息しています。サンゴのポリプを主食とします。他のチョウチョウウオに比べてやや深い水深で見られることが多く、優雅に泳ぐ姿はダイバーに人気があります。
58,タキゲンロクダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Coradion altivelis,南日本の太平洋岸、琉球列島、小笠原諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、岩礁域,全長約13cm,30m,チョウチョウウオの仲間で、白地に黒い太い横帯が数本入る。背ビレの一部が長く伸びるのが大きな特徴。サンゴ礁や岩礁のやや深い場所に生息し、単独またはペアで行動する。他のチョウチョウウオに比べて警戒心が強く、ダイバーが近づくとすぐに岩陰に隠れてしまう。長く伸びた背ビレをなびかせて泳ぐ姿は優雅。
59,キスジゲンロクダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Coradion chrysozonus,小笠原諸島；東部インド洋～西部太平洋の熱帯域,サンゴ礁域,全長約13cm,30m,チョウチョウウオに似た体型をした仲間。黄色い体に黒い太い帯が数本入るのが特徴で、サンゴ礁や岩礁のやや深い場所で見られる。ペアで行動していることが多く、岩のオーバーハングの下などをゆっくりと泳いでいる。岩肌の小動物などをついばむようにして食べる。警戒心は比較的弱い。
61,ハシナガチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Chelmon rostratus,相模湾；東部インド洋～西部太平洋の熱帯域,サンゴ礁域、内湾、砂泥底の岩礁付近や藻場,全長約13cm,10m,チョウチョウウオの仲間。名前の通り、管状に長く伸びた吻が最大の特徴。この吻を使い、岩やサンゴの狭い隙間にいるゴカイや小型の甲殻類などを吸い込むようにして食べる。サンゴ礁や岩礁域で、単独またはペアで行動している姿がよく見られる。そのユニークな食事風景は観察の価値あり。
63,フエヤッコダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Forcipiger flavissimus,南日本の太平洋岸、琉球列島；インド・汎太平洋岩礁域,サンゴ礁域,全長約12cm,10m,チョウチョウウオに近い仲間で、非常に長い吻（ふん）が特徴。この長い口を使って、サンゴや岩の隙間にいる小さな甲殻類などを捕食する。体は鮮やかな黄色で、頭部に黒と白の模様がある。よく似たオオサマフエヤッコダイとは、吻の長さや黒い斑点の有無で見分けられる。サンゴ礁の斜面などでペアで行動することが多い。
64,オオフエヤッコダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Forcipiger longirostris,沖縄諸島、宮古諸島、八重山諸島、小笠原諸島；インド・太平洋,サンゴ礁域、サンゴ礁外縁,全長約15cm,10m,チョウチョウウオの仲間で、非常に長い口が特徴です。この口を使って、岩の隙間やサンゴの枝の間にいる小さな甲殻類などを捕食します。よく似たフエヤッコダイよりもさらに口が長いことで見分けられます。サンゴ礁域で単独かペアで行動し、岩肌をつつくように餌を探す姿が観察できます。
65,カスミチョウチョウウオ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Hemitaurichthys polylepis,南日本の太平洋岸、琉球列島；東部インド洋～中・西部太平洋の熱帯域,岩礁域、サンゴ礁域、サンゴ礁外縁の40m以浅の中層,全長約12cm,15m,チョウチョウウオの仲間で、黄色と白のツートンカラーが特徴です。サンゴ礁のドロップオフなどで非常に大きな群れを作り、中層を漂いながら動物プランクトンを食べています。その大群は「カスミの根」などと呼ばれ、ダイビングの見どころの一つです。危険を感じると一斉に流れの下手へ移動します。
67,ハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus acuminatus,下北半島、南日本、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約2.5cm,10m,チョウチョウウオの仲間。長く伸長した背鰭の第4棘条が「旗」のように見えることが名前の由来。白と黒の明瞭な縞模様が特徴。サンゴ礁や岩礁域で、単独、ペア、時には大きな群れを形成して泳ぐ。ムレハタタテダイやツノダシと似ているが、吻の長さや縞模様の入り方で区別できる。
68,ミナミハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus chrysostomus,南日本の太平洋岸、琉球列島、朝鮮半島、東部インド洋〜中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約12cm,20m,チョウチョウウオの仲間で、長く伸びた背ビレが旗のように見えることからこの名があります。サンゴ礁の斜面や岩礁域でペアや小さな群れで生活しています。口が黄色いのが特徴で、似ているムレハタタテダイとの見分けるポイントになります。サンゴのポリプなどをついばんで食事をしています。
69,ムレハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus diphreutes,南日本の太平洋岸、琉球列島；朝鮮半島、インド洋、オーストラリア東岸、ケルマディック諸島、ハワイ諸島,岩礁域、サンゴ礁域,全長約13cm,30m,チョウチョウウオの仲間で、名前の通り大きな群れを作って行動します。長い背ビレが特徴で、サンゴ礁の外洋に面した斜面や根の上で、プランクトンを食べるために中層を漂っています。口先が黒いのが特徴で、よく似たミナミハタタテダイ（口先が黄色い）と見分けるポイントです。群れの様子は壮観です。
70,オニハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus monoceros,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約20cm,25m,チョウチョウウオの仲間で、長く伸長した背ビレと、顔にあるツノのような突起が特徴です。サンゴ礁の岩陰や洞窟の入り口などでペアまたは単独で見られます。他のハタタテダイの仲間と異なり、大きな群れは作りません。岩の隙間にいる甲殻類などを食べます。比較的ダイバーを恐れません。
71,ツノハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus varius,南日本の太平洋岸、琉球列島；東部インド洋〜中・西部太平洋の熱帯域,岩礁域、サンゴ礁域,全長約12cm,15m,ハタタテダイの仲間で、額に一対の短いツノ状の突起があるのが名前の由来です。サンゴ礁や岩礁の斜面にペアで生息していることが多いです。成長すると背中がこぶ状に盛り上がります。サンゴのポリプや底生生物を食べます。近縁種のハタタテダイやムレハタタテダイに比べて、やや警戒心が強く、物陰に隠れがちです。
72,シマハタタテダイ,,2026-04-16T23:27:05.306685+00:00,2026-04-16T23:27:05.306685+00:00,Heniochus singularius,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約25cm,20m,チョウチョウウオの仲間で、ハタタテダイのグループでは最も大きくなります。長く伸長した背ビレが旗のように見えることからこの名が付きました。黒と白の幅広い縞模様が特徴です。サンゴ礁の斜面やドロップオフなど、やや深い場所で単独またはペアで行動しています。
