和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
カスザメ,Squatina japonica,北海道以南；朝鮮半島、中国北部,水深100m前後の砂泥底,1.2m,25m,平たい体に砂地と同化する茶褐色の模様。背中に小さなトゲがあり、目は上部に寄っている。じっと砂に潜む姿が特徴。,カスザメは平たい体と砂地に溶け込む茶褐色の模様が特徴で、背中には小さなトゲが並んでいます。目は上部に寄っており、砂に潜む習性があるため、海底でじっとしている姿をよく見かけます。主に水深100m前後の砂泥底に生息し、夜間に活動的に餌を探します。ダイビングでは、砂地の微妙な隆起や目だけを出している個体を探すのがポイントです。写真撮影では、自然に溶け込む姿を捉えると芸術的な仕上がりに。豆知識として、名前の「カス」は「かすむ」ように見える体色に由来すると言われています。
サカタザメ,Rhinobatos schlegelii,南日本の太平洋岸、八丈島、琉球列島；南シナ海、アラビア海,砂泥底、砂中に潜っている,80cm,17m,砂底に埋まる平たい体。茶褐色の地に細かい斑点があり、三角形の頭と長い尾が特徴。じっとしていることが多い。,サカタザメは砂泥底に潜む平たい体形が特徴で、背面は茶褐色に細かい黒斑点が散らばり、砂に紛れる保護色となっている。三角形の頭部と長く伸びた尾が目印で、体長は約80cm。日中は砂に半分埋もれてじっとしていることが多く、近づくと素早く泳ぎ去る。ダイビングでは砂地の緩やかな斜面や礁の縁で探すと発見しやすい。撮影時はゆっくり近づき、砂から出る瞬間の優雅な泳ぎを狙うと良い。実はエイに近い仲間で、卵胎生という珍しい繁殖方法を持つ。ダイバーにとっては地味ながらも、その独特の姿と生態が観察の楽しみを引き立てる。
ウチワザメ,Platyrhina tangi,南日本、八丈島；東シナ海、南シナ海,沿岸の岩礁に近い砂底、砂中に潜っている,60cm,15m,平たい体に丸みを帯びたヒレが特徴。砂底に潜むため、目立たないが、体表は茶褐色で小さな斑点が散在。,ウチワザメは平たい菱形の体と丸みを帯びた胸ビレが特徴で、体長は約60cm。体色は茶褐色で、背中に小さな黒い斑点が散在し、砂底に同化する保護色を持つ。主に沿岸の岩礁近くの砂底に生息し、砂中に潜って獲物を待ち構える。ダイビング中は砂地を注意深く観察すると、目やヒレの一部がわずかに露出していることが多い。写真撮影では、砂から出てくる瞬間やヒレを広げた姿が魅力的。豆知識として、学名の「Platyrhina tangi」は中国の魚類学者に由来する。ダイバーにとっては、地味ながらもユニークな形状が観察の楽しみとなる。
シビレエイ,Narke japonica,南日本、琉球列島；東シナ海、南シナ海,大陸棚、砂底,35cm,25m,茶褐色の平たい体に丸い胸びれが特徴。砂底に潜むことが多く、電気を発生させる能力を持つ。,シビレエイは茶褐色から灰褐色の平たい体と、丸く広がった胸びれが特徴的なエイの一種です。体長は最大で35cmほどで、砂底に半ば埋もれるようにして生息しています。背中には小さな斑点が散らばり、尾の付け根には強力な電気器官があります。ダイビング中には、砂地の少し窪んだ部分や、他の生物が掘った穴の近くで見つかることが多いです。観察時は近づきすぎず、ゆっくりとアプローチすると、彼らが砂から浮き上がる様子を見られるかもしれません。写真撮影では、そのユニークな形状と地味ながらも美しい色合いが魅力です。豆知識として、シビレエイは古代から『電気魚』として知られ、江戸時代の文献にも登場しています。ダイバーにとっては、珍しい生態と歴史的な背景が興味深い生物です。
ヒラタエイ,Urolophus aurantiacus,南日本、八丈島、琉球列島；東シナ海,大陸棚砂底域,30cm,30m,茶褐色の平たい体に丸い尾びれが特徴。砂底に潜む姿がよく見られ、驚くと砂煙を上げて逃げる。,ヒラタエイは茶褐色の平たい体と、丸みを帯びた尾びれが特徴的な小型のエイです。体長は約30cmで、砂底に半ば埋もれるようにして生息しています。驚くと素早く砂煙を上げて逃げるため、ダイバーはゆっくり近づくことが観察のコツです。撮影時は砂底とのコントラストが美しく、自然な姿を捉えるのに最適です。豆知識として、ヒラタエイは毒を持つ尾びれを持っていますが、非常に大人しい性格で、むやみに触れなければ危険はありません。ダイビング中に砂底を注意深く観察すると、思わぬ場所で出会えるかもしれません。
アカエイ,Hemitrygon akajei,南日本；渤海、黄海、東シナ海、南シナ海,浅海の砂底,60cm,12m,赤褐色の菱形の体と長い尾が特徴。砂底に潜むことが多く、尾の毒棘に注意。,アカエイは赤褐色から茶色の菱形の体と、長くしなやかな尾が特徴的なエイの一種です。体の背面には小さな突起が散在し、尾の付け根には鋭い毒棘があります。砂底に浅く潜む習性があり、砂に体を埋めて目立たなくなるため、ダイバーは接近時に注意が必要です。観察の際は、砂地の微妙な凹凸や動きに注目すると見つけやすいでしょう。写真撮影では、砂から飛び出す瞬間や優雅に泳ぐ姿が魅力的です。豆知識として、アカエイは日本の伝統的な食材としても知られ、特に山口県の『ふく料理』では珍重されます。ダイバーにとっては、その美しいフォルムと生態の観察が楽しめる生物です。
イズヒメエイ,Hemitrygon izuensis,房総半島、伊豆半島、高知県以布利沿岸浅域,沿岸浅域,60cm,12m,茶褐色の体に淡い斑点が特徴のエイ。平たい体と長い尾を持ち、砂地でじっとしていることが多い。,イズヒメエイは茶褐色の体に淡い斑点が散りばめられた美しいエイで、平たい菱形の体と細長い尾が特徴です。主に砂地や砂泥底に生息し、体を砂に潜らせてじっとしていることが多いため、ダイバーは慎重に近づく必要があります。観察の際は、砂地の微妙な凹凸や動きに注目しましょう。写真撮影では、自然な姿を捉えるためにゆっくりとアプローチし、フラッシュを使わないことがおすすめです。イズヒメエイは地域固有種で、特に伊豆半島周辺でよく見られます。ダイバーにとっては、地元の生態系を象徴する貴重な生物として親しまれています。
ヤッコエイ,Neotrygon kuhlii,北海道以南、南日本、琉球列島、小笠原諸島；インド・西太平洋,サンゴ礁周辺の砂底、島嶼周辺の砂底,50cm,15m,青灰色の体に鮮やかな青い斑点が特徴のエイ。平たい体で砂底に潜む姿がよく見られます。,ヤッコエイは青灰色の体に鮮やかな青い斑点が散りばめられた美しいエイで、平たい菱形の体形が特徴です。サンゴ礁周辺の砂底や島嶼周辺の砂地に生息し、砂に潜って獲物を待ち伏せする習性があります。ダイビングでは、砂底をゆっくり泳ぎながら観察できることが多く、近づくと素早く砂に潜り込む様子が見られます。写真撮影では、青い斑点が光に反射して幻想的な雰囲気を演出し、人気の被写体です。豆知識として、学名の「kuhlii」はドイツの博物学者クールに由来します。ダイバー目線では、砂地の微妙な隆起や動きに注目すると、ヤッコエイを見つけやすくなります。
マダラエイ,Taeniurops meyeni,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・西太平洋,サンゴ礁周辺の砂底,1.5m,25m,黒地に白い水玉模様が特徴のエイで、砂底に潜む姿がよく見られます。,マダラエイは黒い体に白い水玉模様が美しいエイで、最大で1.5mほどの大きさになります。サンゴ礁周辺の砂底に生息し、砂に体を埋めて隠れる習性があります。ダイビングでは、砂地をゆっくり泳ぎながらエサを探す姿や、砂に潜る瞬間を観察できることが魅力です。写真撮影では、模様のコントラストがはっきりと映えるため、水中写真家に人気の被写体です。豆知識として、学名の「meyeni」はドイツの博物学者にちなんで名付けられました。ダイバーは、砂地の微妙な盛り上がりに注目すると、隠れたマダラエイを見つけられるでしょう。
ツカエイ,Pastinachus sephen,琉球列島；インド・西太平洋,亜熱帯から熱帯の沿岸域、汽水・淡水域,1.8m,20m,大きな菱形の体と長い尾が特徴のエイ。背面は茶褐色で、砂地の上を優雅に泳ぐ姿が見られる。,ツカエイ（Pastinachus sephen）は、琉球列島やインド・西太平洋の沿岸域に生息する大型のエイで、体長は最大1.8mに達します。背面は茶褐色で滑らかな皮膚を持ち、菱形の体と長く伸びた尾が特徴です。砂地や浅瀬を好み、ゆったりと泳ぎながら底生生物を捕食します。ダイビングでは、砂地の上を這うように移動する姿や、潮通しの良い場所での群れを観察できることがあります。写真撮影では、その優雅な泳ぎと独特のシルエットが魅力で、背景に青い海を入れるとよりドラマチックなショットが撮れます。豆知識として、ツカエイは汽水域や淡水域にも進出できる適応力を持つため、河口付近で見かけることもあります。ダイバーにとっては、その大きさと穏やかな性格から、近づきやすい生物の一つです。
オニイトマキエイ,Manta birostris,青森県、相模湾以南の黒潮流域、琉球列島、小笠原諸島；全世界の熱帯～温帯域,,3m,4m,巨大な菱形の体に三角形の胸びれ、背面は黒や青灰色で腹面は白い。ゆったりと泳ぐ姿が特徴的で、時にダイバーの周りを優雅に旋回する。,オニイトマキエイは、最大で3mにも達する巨大な菱形の体と、三角形の胸びれが特徴的です。背面は黒や青灰色で、腹面は白く、個体によっては斑点や模様が見られることもあります。生態は主に外洋性で、プランクトンを食べるために浅瀬に現れることが多く、ダイビングでは4mほどの深さで観察できます。ゆったりとした泳ぎ方で、時にダイバーの周りを旋回したり、エラから水を噴出させたりする姿が見られます。写真撮影では、その優雅な動きと巨大な体が迫力満点で、特に太陽光が差し込む水中でのシルエットは絶好の被写体です。面白いエピソードとして、一部の個体はダイバーに好奇心を示し、近づいてくることもあります。ダイバー目線では、彼らが群れで現れる季節や時間帯を狙うと、より高い確率で遭遇できるでしょう。
ナンヨウマンタ,Manta alfredi,高知県、琉球列島；インド・太平洋、東部大西洋,,2.5m,25m,大型のエイで、黒い背中に白い斑点模様が特徴。翼のように広がる胸びれで優雅に泳ぐ姿が人気。,ナンヨウマンタは、最大で体長2.5mに達する大型のエイで、黒い背中に白い斑点模様が特徴的です。翼のように広がる胸びれで優雅に泳ぎ、時にダイバーの周りを旋回することもあります。主にサンゴ礁周辺や外洋の表層に生息し、プランクトンを食べる濾過食者です。ダイビングでは、潮通しの良いポイントやクリーニングステーション（他の魚に体表の寄生虫を取ってもらう場所）で観察できることが多く、ゆったりとした動きで近づくため、写真撮影にも最適です。面白いエピソードとして、個体によって模様が異なるため、研究者やダイバーが個体識別に利用することがあります。ダイバー目線では、その大きさと優雅な泳ぎが迫力満点で、一度見ると忘れられない体験となるでしょう。
マダラトビエイ,Aetobatus ocellatus,和歌山県以南の南日本太平洋岸、琉球列島、小笠原諸島；全世界の温・熱帯域,サンゴ礁や岩礁域、表層から底層,1.8m,25m,白地に黒い斑点が特徴の大きなエイ。羽のように広がる胸びれで優雅に泳ぐ姿は圧巻。サンゴ礁周辺で群れていることも。,マダラトビエイは白い体に黒い斑点が散りばめられた美しいエイで、最大で1.8mにもなる大型種。広がった胸びれを波打たせながら優雅に泳ぐ姿は、ダイバーにとってのハイライトだ。サンゴ礁や岩礁域の表層から底層にかけて生息し、時には小さな群れを形成することもある。観察の際は、砂地やサンゴの上をゆっくりと移動しながらエサを探す様子に注目。写真撮影では、青い海を背景にした羽ばたくような姿が特に映える。面白い生態として、時折ジャンプして水面から飛び出す「ブリーチング」行動が見られることがあり、運が良ければその瞬間を捉えられるかもしれない。
トビエイ,Myliobatis tobijei,北海道以南、南日本；南シナ海沿岸の浅海域,海底、浅海域,90cm,15m,平たい菱形の体に長い尾、背中は茶褐色で腹側は白い。海底でじっとしていることが多く、優雅に泳ぐ姿が見られる。,トビエイは平たい菱形の体と長い尾が特徴で、背中は茶褐色、腹側は真っ白なコントラストが美しい。体長は最大90cmほどで、浅い海底に潜んでじっとしていることが多いが、時折優雅に羽ばたくように泳ぐ姿が見られる。ダイビングでは砂地や藻場を注意深く観察すると、砂に半ば埋もれた状態で休んでいる個体を発見できる。撮影の際は、ゆっくり近づき、フラッシュを使わず自然光で撮ると、その優雅なフォルムと色彩が引き立つ。豆知識として、トビエイは尾に毒を持つが、非常におとなしい性格で、ダイバーが近づいても逃げる程度である。ダイバー目線では、砂地の上をゆっくり泳ぎながら、トビエイが砂をかき分けて餌を探す様子を観察できるのが興味深い。
ハナヒゲウツボ,Rhinomuraena quaesita,和歌山県以南の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域の浅所、砂礫底や岩の穴,60cm,10m,鮮やかな黄色い体に黒い斑点、細長い鼻先が特徴。サンゴ礁の岩穴からひょっこり顔を出す姿が愛らしい。,ハナヒゲウツボは、鮮やかな黄色の体に黒い斑点模様が目を引くウツボの仲間です。細長い鼻先と大きな口が特徴で、サンゴ礁の砂礫底や岩穴に潜んでいます。日中は巣穴から上半身だけを出して周囲を警戒し、夜間に餌を探す習性があります。ダイビングでは、岩の隙間やサンゴの根元を注意深く観察すると、黄色い体が目立ちます。写真撮影時は、ゆっくりと近づき、フラッシュを使わず自然光で撮ると、その美しい色彩が引き立ちます。豆知識として、ハナヒゲウツボは性転換する魚で、成長に伴いオスからメスに変化することが知られています。ダイバーにとっては、そのユニークな外見と生態が観察の楽しみを倍増させます。
クモウツボ,Echidna nebulosa,伊豆・小笠原諸島、高知県以南の南日本の太平洋岸、琉球列島；インド・太平洋サンゴ礁域の浅所,サンゴ礁域の浅所,80cm,13m,白地に黒い雲模様が特徴のウツボ。サンゴの隙間から顔を出している姿をよく見かけます。,クモウツボは、白い体に黒い雲状の模様が特徴的なウツボの一種です。体長は最大80cmほどで、サンゴ礁の浅い海域（水深13m以浅）に生息しています。日中はサンゴの隙間や岩陰に潜んでおり、顔だけを出していることが多いです。夜行性で、小魚や甲殻類を捕食します。ダイビング中に見つけるには、サンゴの割れ目や岩の陰を注意深く観察しましょう。写真撮影では、そのユニークな模様と鋭い歯が魅力です。実は非常に臆病な性格で、近づきすぎるとすぐに隠れてしまいます。ダイバーは静かに接近し、驚かせないように観察するのがコツです。
コケウツボ,Enchelycore lichenosa,高知県までの南日本の太平洋岸、伊豆・小笠原諸島；台湾、ガラパゴス諸島,沿岸岩礁域,70cm,15m,茶褐色の体に白い斑点が特徴のウツボ。岩の隙間に隠れていることが多く、大きな口と鋭い歯が印象的。,コケウツボは茶褐色の体に不規則な白い斑点が散りばめられた美しいウツボで、最大70cmほどに成長します。岩礁地帯の隙間や洞穴に潜んでおり、大きな口と鋭い歯が特徴的です。日中はほとんど動かず、夜間に餌を探し回ります。ダイビングでは、岩の陰を注意深く観察すると見つけることができ、近づくとゆっくりと口を開けて威嚇する姿が見られます。写真撮影では、その独特の模様と表情豊かな口元が魅力です。実はガラパゴス諸島でも確認されており、分布域の広さが興味深い生物です。
トラウツボ,Enchelycore pardalis,南日本の太平洋岸、伊豆・小笠原諸島；インド・太平洋,沿岸岩礁域,80cm,20m,黄色い体に黒い斑点模様が特徴的なウツボ。岩穴から顔を出す姿がよく見られ、鋭い歯と大きな口が印象的。,トラウツボは鮮やかな黄色の体に黒い斑点模様が特徴で、ダイバーにとって非常に目立ちやすい生物です。体長は最大80cmほどで、岩礁域の割れ目や洞穴に潜んでいます。鋭い歯と大きな口を持ち、威嚇するように口を開ける姿は迫力満点です。日中は岩陰に隠れていることが多いですが、夜間は活発に餌を探し回ります。観察する際は、岩穴をゆっくりと覗き込むと良いでしょう。写真撮影では、そのカラフルな体色と独特の模様が映え、特に自然光が当たるとより美しく写ります。豆知識として、トラウツボは他のウツボに比べて攻撃性が低く、ダイバーに対しても比較的穏やかな態度を取ることが多いです。ただし、不用意に近づきすぎると噛まれる恐れがあるので注意が必要です。
ハワイウツボ,Gymnothorax berndti,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸や沖合いのやや深所（水深250mまで）,80cm,30m,茶褐色の体に小さな黒斑が散らばり、大きな口と鋭い歯が特徴。岩陰から頭だけ出している姿がよく見られる。,ハワイウツボは茶褐色の体に小さな黒斑が散在し、体長80cmほどに成長する。大きな口と鋭い歯が目立ち、岩陰や洞窟に潜むことが多い。日中は巣穴から頭だけ出して周囲を警戒し、夜間に餌を探す。ダイビングでは30mほどの深さで観察でき、岩場やサンゴ礁の隙間を注意深く探すと見つけやすい。写真撮影では、口を開けた瞬間や体をくねらせる姿が迫力満点。ウツボの中でも比較的おとなしい性格で、ダイバーが近づいても逃げないことが多い。面白いエピソードとして、ハワイでは「ウツボのダンス」と呼ばれる求愛行動が観察されることがある。
ワカウツボ,Gymnothorax meleagris,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,温帯の沿岸岩礁域〜亜熱帯のサンゴ礁域,80cm,12m,黒地に白い斑点が特徴のウツボ。岩陰に隠れていることが多く、鋭い歯に注意。,ワカウツボは黒い体に白い小さな斑点が散りばめられた美しいウツボで、体長は最大80cmほどになります。岩礁やサンゴ礁の隙間に身を潜めることが多く、日中はほとんど動かずにじっとしていますが、夜間に餌を求めて活発に活動します。ダイビングでは岩陰や洞穴を注意深く観察すると、鋭い目と大きな口が印象的な姿が見られます。写真撮影の際は、そのコントラストの強い模様が水中で非常に映えるため、ライトを使うとさらに魅力的に写ります。ワカウツボは比較的おとなしい性格ですが、不用意に近づくと鋭い歯で噛まれることがあるので注意が必要です。面白いことに、このウツボは他の魚と共生関係を築くことが知られており、クリーニングシュリンプが体表の寄生虫を食べる光景が見られることもあります。
