id,name,scientific_name,distribution,habitat,size,depth_range,description
206,アカハタ,Epinephelus fasciatus,南日本、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、浅所から深所の岩礁域,全長約20cm,10m,ハタの仲間で、日本の沿岸から南のサンゴ礁まで広く分布しています。名前の通り全身が赤く、不明瞭な横縞模様が入ります。岩礁の隙間や根の周りに単独で潜んでいることが多い、代表的な根魚です。好奇心が強い個体もおり、ダイバーが近づいても逃げずに様子をうかがっていることがあります。
2312,アカハチハゼ,Valenciennea strigata,小笠原諸島、八丈島、相模湾、伊豆半島、和歌山県、高知県、種子島、屋久島、琉球列島；インド・太平洋,サンゴ礁域の砂底,全長約10cm,2m,砂地に生息するハゼの仲間。白い体に、頭部から背ビレにかけて入る鮮やかな黄色い帯が特徴です。巣穴を掘る能力はなく、他の甲殻類が掘った巣穴などを利用します。口で砂をすくい、エラから砂だけを排出して餌を濾し取る行動が頻繁に見られます。通常はペアで行動していることが多いです。
197,アカハナ,Cephalopholis spiloparaea,琉球列島；インド・太平洋,サンゴ礁域の深所,全長約15cm,12m,ハタの仲間で、やや深い岩礁やサンゴ礁に生息しています。赤い体に小さな白い斑点が散らばり、背ビレの後端が黒く縁取られるのが特徴です。普段は岩陰に隠れていますが、ダイバーが珍しいのか、物陰からそっと顔を出して様子をうかがうことがあります。アカハタによく似ていますが、斑点の有無で見分けられます。
2867,アカハラヤッコ,Centropyge ferrugata,南日本の太平洋岸、琉球列島、小笠原諸島；台湾、フィリピン,岩礁域、サンゴ礁域,全長約9cm,7m,小型のヤッコ（キンチャクダイの仲間）で、サンゴ礁や岩礁域で見られます。茶色い体に細かい暗色点が密にあり、腹部から尻ビレにかけてが赤みがかるのが名前の由来です。岩の隙間やサンゴの枝の間をちょこまかと泳ぎ回り、カイメンや藻類などを食べています。警戒心が強く、すぐに隠れてしまいます。
2560,アカヒメジ,Mulloidichthys vanicolensis,南日本、琉球列島；インド・太平洋,サンゴ礁域の113m以浅、サンゴ礁外縁部の中層、粗めの砂地,全長約22cm,16m,ヒメジの仲間で、サンゴ礁の砂地で大きな群れを作っているのがよく見られます。下アゴにある2本のヒゲを器用に動かして砂の中を探り、ゴカイや甲殻類などの餌を見つけ出します。群れ全体で一斉に砂を掘り返す光景は圧巻です。夜は岩陰などでじっとして休み、体色も赤みを帯びた斑模様に変化します。
2335,アカホシイソハゼ,Eviota melasma,伊豆半島、高知県、琉球列島；インド・太平洋,サンゴ礁域、サンゴの上,全長約2.5cm,5m,サンゴ礁に生息するごく小さなハゼの仲間。透明感のある体に、エラ蓋の上にある赤い斑点が名前の由来です。枝状サンゴの根元や、岩の表面に数匹でじっと張り付いていることが多いです。非常に小さく、周囲の環境に溶け込んでいるため、見つけるにはマクロな視点でじっくりと探す必要があります。
2494,アカホシキンセンイシモチ,Ostrhinchus rubrimacula,石垣島、西表島；西部太平洋の熱帯域,サンゴ礁域,全長約5cm,10m,テンジクダイの仲間で、サンゴの枝の間やガンガゼの棘の間に隠れています。銀色の体に金色の縦縞が走り、尾ビレの付け根に黒く縁取られた赤い斑点があるのが最大の特徴です。日中は物陰に隠れてじっとしていますが、夜になると活動的になります。オスが口の中で卵を育てる口内保育を行います。
159,アカボシハナゴイ,Pseudanthias lori,高知県柏島、八丈島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,サンゴ礁域の水深25～60m,全長約6cm,33m,ハナダイの仲間で、やや深いドロップオフや岩棚の下などで見られます。ピンク色の体に、背中に沿って並ぶ赤い斑点が特徴的です。他のハナダイ類と同様にハレムを形成しますが、比較的規模の小さい群れで行動します。薄暗い場所を好むため、オーバーハングの下などをライトで照らして探すと見つかります。
212,アカマダラハタ,Epinephelus fuscoguttatus,琉球列島、インド・太平洋,サンゴ礁域の浅所,全長約60cm,15m,サンゴ礁域に生息する大型のハタの仲間。成長すると1mを超えることもあります。淡い褐色の体に大きなまだら模様と無数の黒い点があるのが特徴で、優れた保護色になっています。岩陰や洞窟に潜み、獲物となる魚や甲殻類を待ち伏せします。サンゴ礁の生態系の頂点に立つ魚の一つです。
3788,アカマツカサ,Myripristis berndti,琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域、洞窟や岩の裂け目,全長約15cm,28m,イットウダイの仲間で、赤い体に大きな目が特徴。夜行性のため、日中はサンゴ礁の岩陰や洞窟の暗がりに群れで潜んでいることが多い。ダイバーが近づいてもあまり逃げず、観察しやすい。夜になると活発に泳ぎ出し、甲殻類などの動物プランクトンを捕食する。ライトを当てると目が反射して光って見える。
2386,アカメハゼ,Bryaninops natans,琉球列島；インド・太平洋,サンゴ礁域、水深1〜20mにある枝状ミドリイシ類のサンゴの周囲,体長約2.5cm,6m,小さなハゼの仲間で、透き通った体に赤い目が際立つ。特定のイソギンチャクやウミキノコ類などのサンゴの上で、数匹の群れでホバリングするように浮かんでいる。非常に小さいため、意識して探さないと見過ごしやすい。流れに向かって定位し、流れてくる動物プランクトンを食べている。
2761,アカメバル,Sebastes inermis,積丹半島～九州北部； 朝鮮半島南部,沿岸の藻場,全長約15cm,5m,カサゴの仲間で、沿岸の岩礁域や藻場に生息する。日中は岩陰や海藻の間に隠れていることが多いが、好奇心が強く、ダイバーが近づくと様子をうかがうように出てくることもある。卵ではなく稚魚を産む卵胎生という繁殖形態を持つ。他のメバル類と似るが、胸鰭の軟条数などで区別される。
127,アカモンガラ,Odonus niger,相模湾以南の南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,サンゴ礁域、礁外縁の50m以浅の潮通しのよい所,全長約25cm,10m,モンガラの仲間で、青みがかった濃紺の体が特徴。サンゴ礁の外縁やドロップオフの中層で、大きな群れを作って泳いでいることが多い。口をパクパクさせながら、流れてくる動物プランクトンを捕食している。危険を感じると一斉にサンゴの隙間や岩穴に逃げ込む。
17679,アカヤガラ,Fistularia petimba,北海道以南、南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；東部太平洋を除く全世界の温・熱帯域,やや沖合いの深みに生息,全長約60cm,12m,細長い体と筒状の吻（ふん）が特徴的なヤガラの仲間。サンゴ礁域から砂地まで幅広い環境で見られる。単独かペアでいることが多く、他の大型魚の体に寄り添って隠れながら獲物である小魚や甲殻類に近づくという、巧みな狩りを行う。体色は赤褐色だが、周囲の環境に合わせて変化させる。
2720,アキアナゴ,Gorgasia taiwanensis,南日本の太平洋岸、西表島、台湾,サンゴ礁の砂底,体長約30cm,20m,チンアナゴの仲間で、流れのよい砂底から上半身を出して生活している。数百匹以上の大規模なコロニーを作ることが多い。体をくねらせて流れてくる動物プランクトンを捕食する。警戒心が非常に強く、ダイバーが近づくと砂の中に素早く隠れてしまうため、遠くからゆっくり近づくのが観察のコツ。
20,アケボノチョウチョウウオ,Chaetodon melannotus,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,全長約11cm,10m,チョウチョウウオの仲間で、白い体に黒い斜めの帯模様が入るのが特徴。サンゴのポリプを主食とする。ミドリイシなど、特定のサンゴ群落の周辺でペアまたは小さな群れで見られる。夜間はサンゴの枝の間などで休み、体色を変化させる。驚くとサンゴの隙間に素早く隠れる。
2638,アケボノハゼ,Nemateleotris decora,八丈島、高知県柏島、奄美大島、沖縄諸島、西表島；インド・太平洋,サンゴ礁域、礁斜面の水深35～55mのサンゴ片混じりの砂底など,全長約7cm,50m,美しいハゼの仲間で、白から紫へのグラデーションと、鮮やかな赤橙色の背びれと尾びれが特徴。主にガレ場や砂礫底にペアで巣穴を掘って生息する。危険を感じると瞬時に巣穴に隠れる。背びれをリズミカルに動かす行動が観察される。やや深場を好むため、ダイビングでは注意深く探す必要がある。
4349,アゴハゼ,Chaenogobius annularis,北海道の太平洋・日本海側～屋久島、瀬戸内海、対馬；朝鮮半島,岩礁域、潮だまりのような潮間帯,全長約5cm,1m,沿岸のタイドプールや浅い岩礁域で見られるハゼの仲間。ずんぐりした体型で、頬に斑点模様があるのが特徴。環境に応じて体色を変化させる能力が高い。岩や石の下に隠れていることが多い。雑食性で、付着藻類や小型の甲殻類などを食べる。動きは比較的ゆっくりしているため観察しやすい。
5955,アゴハタ,Pogonoperca punctata,高知県、八丈島、琉球列島、小笠原諸島、インド・太平洋,沿岸岩礁域とサンゴ礁域の浅所、物陰,全長約25cm,30m,ハタの仲間で、下顎の先端に小さな皮弁（ひげ）があるのが名前の由来。体には白い斑点が散らばる。サンゴ礁や岩礁のオーバーハングの下や洞窟の奥に潜んでいることが多い。警戒心が強く、すぐに隠れてしまう。皮膚に毒を持つため食用にはならない。単独で行動する。
432,アサドスズメダイ,Pomacentrus lepidogenys,八丈島、琉球列島；東部インド洋〜西部太平洋の熱帯域,サンゴ礁域、ウミシダやサンゴの周り,全長約6cm,4m,スズメダイの仲間で、黄緑色がかった明るい体色が特徴。枝状サンゴの群落に非常に多くの個体が群れている。危険が迫ると一斉にサンゴの枝の間に隠れる。主に動物プランクトンを食べる。他のスズメダイと混泳していることも多いが、その鮮やかな体色で見分けやすい。
