和名,学名,分布,生息場所,体長,深さ
イソスジエビ,Palaemon pacificus,北海道以南、香港、ハワイ、インド洋、紅海,磯、潮間帯,3cm,0～3m
スジエビモドキ,Palaemon serrifer,北海道以南、香港、東南アジア、インド洋東部,磯、潮間帯,3cm,0～3m
フウライテナガエビ,Brachycarpus biunguiculatus,八丈島以南、ニューカレドニア、フランス領ポリネシア、インド洋、地中海、大西洋,サンゴ礁、水路、礁洞、礁壁、岩穴,6cm,3m以深
コガラシエビ,Leandrites cyrtorhynchus,琉球列島、東南アジア、ニューカレドニア,サンゴ礁、岩礁、内湾、転石帯,2.3cm,5m以深
ソリハシコモンエビ,Urocaridella sp. 1,八丈島以南、東南アジア、紅海,サンゴ礁、岩礁、離れ根、礁原、礁斜面,2cm,5m以深
クリアクリーナーシュリンプ,Urocaridella antonbruunii,伊豆半島以南、オーストラリア北部、インド洋,サンゴ礁、岩礁、離れ根、礁原、礁斜面,3.5cm,5m以深
ベンテンコモンエビ,Urocaridella sp. 2,八丈島以南、東南アジア、ニューカレドニア、インド洋,サンゴ礁、岩礁、離れ根、礁原、礁斜面,2cm,5m以深
カヅキコモンエビ,Urocaridella sp. 3,奄美大島以南、オーストラリア北部,サンゴ礁、岩礁、離れ根、礁原、礁斜面,2cm,5m以深
ウミシダカクレエビ,Palaemonella poti,伊豆半島以南、東南アジア、ニューカレドニア、マーシャル諸島、インド洋,サンゴ礁、岩礁、磯、ウミシダ類,1.5cm,3～40m
シサンゴカクレエビ,Palaemonella rostrum,相模湾以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海、地中海東部,サンゴ礁、礁池、礁原、サンゴ瓦礫、港内、枝状サンゴ,3.5cm,1～5m
バブルコーラルシュリンプ,Vir philippinensis,琉球列島、フィリピン、オーストラリア北部,サンゴ礁、塊状サンゴ,2cm,3～40m
アカヒゲカクレエビ,Vir sp.,琉球列島,サンゴ礁、塊状サンゴ,2cm,3～40m
エンマカクレエビ,Periclimenes spinifer,琉球列島以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、枝状サンゴ,2cm,3m以深
テンボウカクレエビ,Periclimenes latescens,奄美大島以南、インドネシア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,サンゴ礁、枝状サンゴ,2cm,3～15m
ロングクロウシュリンプ,Periclimenes tenuipes,琉球列島以南、東南アジア、オーストラリア北部、インド洋、紅海,サンゴ礁、離れ根、砂底、岩穴,3.5cm,3m以深
オシャレカクレエビ,Periclimenes magnificus,琉球列島以南、インドネシア、オーストラリア北部,サンゴ礁、離れ根、砂底、岩穴,3cm,3m以深
コロールアネモネシュリンプ,Periclimenes koroensis,フィリピン、パラオ、オーストラリア北部,サンゴ礁、岩礁、礁原、礁斜面、クサビライシ類,2.5cm,10m以深
テナガカクレエビ,Periclimenes grandis,伊豆半島以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,潮間帯、転石下,2cm,1m以深
シオダマリカクレエビ,Periclimenes elegans,琉球列島以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁池、タイドプール、転石帯,2cm,3m以深
アカスジカクレエビ,Periclimenes psamathe,伊豆半島以南、東南アジア、オーストラリア北部、ニューカレドニア、インド洋,サンゴ礁、岩礁、イソバナ、ヤギ、トサカ、ウミカラマツ類,2cm,10～30m
イソギンチャクエビ,Periclimenes brevicarpalis,房総半島以南、東南アジア、オーストラリア北部、インド洋、紅海,サンゴ礁、岩礁、イソギンチャク類,3cm,5～20m
アカホシカクレエビ,Periclimenes sp.2,相模湾～琉球列島,サンゴ礁、岩礁、イソギンチャク類,3cm,7～40m
ドフライエアシュリンプ,Periclimenes sp.3,伊豆半島～九州,岩礁、礁斜面、砂底、砂泥底、イソギンチャク類,2cm,15～70m
ニセアカホシカクレエビ,Periclimenes ututu,琉球列島以南、フィリピン、オーストラリア北部,サンゴ礁、岩礁、塊状サンゴ、クサビライシ類,2.5cm,5～20m
オドリカクレエビ,Periclimenes magnificus,伊豆半島以南、フィリピン、インドネシア、オーストラリア北部,サンゴ礁、岩礁、内湾、イソギンチャク類,2.5cm,5～30m
カザリイソギンチャクエビ,Periclimenes ornatus,房総半島以南、香港、インドネシア、オーストラリア北部、インド洋西部、紅海,岩礁、イソギンチャク類,2.5cm,5～30m
ホシナシイソギンチャクエビ,Periclimenes inornatus,琉球列島以南、インドネシア、オーストラリア北部、インド洋,サンゴ礁、岩礁、パッチリーフ、イソギンチャク類,2.5cm,5～20m
ウミウシカクレエビ,Periclimenes imperator,駿河湾以南、インドネシア、オーストラリア北部、ハワイ、インド洋、紅海,サンゴ礁、岩礁、ナマコ類、ウミウシ類,2cm,5～30m
ヒトデヤドリエビ,,伊豆半島以南、東南アジア、コロンビア、インド洋、紅海,サンゴ礁、岩礁、ヒトデ類,1.5cm,5～30m
カゲロウカクレエビ,Periclimenes galene,伊豆半島以南、インドネシア、オーストラリア北部、ニューカレドニア、インド洋,サンゴ礁、岩礁、ハネガヤ類,2.5cm,5～30m
カゴウニカクレエビ,Periclimenes diversipes,駿河湾以南、中国東部、インドネシア、オーストラリア北部、ニューカレドニア,礁斜面、砂底、深海性ウニ類,2.5cm,10～120m
コールマンズシュリンプ,Periclimenes colemani,駿河湾以南、フィリピン、インドネシア、オーストラリア北部,サンゴ礁、岩礁、礁斜面、砂底,,15〜70m
セトヤドリエビ,Periclimenes sirensis,駿河湾以南、香港、フィリピン,岩礁、サンゴ礁、ウミトサカ類,1.5cm,10m以深
ウミシダヤドリエビ,Periclimenes commensalis,伊豆半島以南、東南アジア、ニューカレドニア、フィジー、インド洋,サンゴ礁、岩礁、ウミシダ類,2cm,5m以深
ツノメヤドリエビ,Periclimenes ceratophthalmus,琉球列島以南、オーストラリア北部、ソロモン諸島、インド洋,サンゴ礁、岩礁、ウミシダ類,1.5cm,5m以深
アンボンクリノイドシュリンプ,Periclimenes amboinensis,琉球列島以南、インドネシア、オーストラリア北部、マーシャル諸島,サンゴ礁、岩礁、ウミシダ類,1.5cm,5m以深
リュウキュウウミシダエビ,Araiopontonia odontotricha,琉球列島以南、オーストラリア北部、マーシャル諸島,サンゴ礁、岩礁（ウミシダ類）,1.5cm,5m以深
イソバナカクレエビ,Hamodactylus boschmai,伊豆半島以南、インドネシア、オーストラリア北部、ニューカレドニア、インド洋,サンゴ礁、岩礁、礁斜面（イソバナ類、ヤギ類）,0.7cm,12m以深
ヒメイソギンチャクエビ,Hamopontonia corallicola,伊豆半島以南、香港、インドネシア、オーストラリア北部,サンゴ礁、岩礁（イソギンチャク類、クサビライシ類）,4cm,12m以深
イソギンチャクモドキカクレエビ,Pliopontonia furtiva,琉球列島以南、フィリピン、インドネシア、オーストラリア、ケニア,サンゴ礁、岩礁（イソギンチャクモドキ類）,1.5cm,10m以深
ザラカイメンカクレエビ,Periclimenaeus gorgonidarum,房総半島〜九州,岩礁、礁斜面（カイメン類）,2cm,12m以深
クシノハカクレエビ,Thaumastocaris streptopus,伊豆半島以南、東南アジア、ニューカレドニア、インド洋、紅海,岩礁、礁斜面（カイメン類）,2cm,12m以深
アヤトリカクレエビ,Izucaris mardai,伊豆半島、伊豆大島,岩礁、礁斜面、礁壁（ナシジイソギンチャク類）,,15m以深
キサンゴカクレエビ,Pontonides sp. 1,伊豆半島～九州,岩礁、磯根、礁斜面（キサンゴ類）,1cm,15m以深
ムチカラマツエビ,Pontonides sp. 2,伊豆半島以南、ハワイ、インド洋,サンゴ礁、岩礁、礁斜面（ムチカラマツ類）,1cm,15m以深
キミシグレカクレエビ,Dasicaris zanzibaica,伊豆半島以南、オーストラリア北部、ニューカレドニア、インド洋,サンゴ礁、岩礁、礁斜面（ムチカラマツ類）,1cm,15m以深
ミネミズエビ,Miopottonia yongei,伊豆半島以南、オーストラリア北西部,サンゴ礁、岩礁、礁斜面、ムチカラマツ類、ヤギ類,1.5cm,18m以深
ガンガゼエビ,Stegopontonia commensalis,琉球列島以南、オーストラリア北部、ニューカレドニア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁、岩礁、磯、潮間帯、ウニ類,2cm,3m以深
ガンガゼカクレエビ,Tuleariocaris sp.,伊豆半島以南、インド洋,サンゴ礁、岩礁、磯、潮間帯、ウニ類,2cm,3m以深
モシオエビ,Coralliocaris sapoba,八丈島以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁原、礁縁、枝状サンゴ,2cm,1m以深
クサイロモシオエビ,Coralliocaris graminea,駿河湾以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁原、礁縁、枝状サンゴ,1.5cm,2～15m
ミドリイシエビ,Philarius gerlachei,琉球列島以南、インドネシア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,サンゴ礁、枝状サンゴ,1cm,2～15m以深
ミカドミドリイシエビ,Philarius imperialis,琉球列島以南、インドネシア、オーストラリア北部、マーシャル諸島、インド洋、紅海,サンゴ礁、枝状サンゴ,1.5cm,2～15m以深
テッポウエビモドキ,Betaeus grandifroms,房総半島以南、韓国、台湾、香港,岩礁、潮間帯、転石下,5cm,1m以深
ムラサキヤドリエビ,Alpheus lottini,房総半島以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、岩礁、磯、潮間帯、ウニ類,0.5cm,1～10m
ムラサキトゲテッポウエビ,Athanas parvus,伊豆半島以南、東南アジア、インド洋、紅海,岩礁、潮間帯、転石下,1cm,1～37m
トゲトサカテッポウエビ,Synalpheus neomeris,伊豆半島以南、東南アジア、オーストラリア、インド洋,サンゴ礁、岩礁、磯、トゲトサカ類,2cm,1～250m
コマチテッポウエビ,Synalpheus demani,相模湾以南、東南アジア、ロアヨーテ諸島、紅海,サンゴ礁、岩礁、磯（ウミシダ類）,2cm,水深5～50m
ハクセンコマチテッポウエビ,Synalpheus stimpsonii,琉球列島以南、東南アジア、オーストラリア、ロアヨーテ諸島、インド洋,サンゴ礁、岩礁、磯（ウミシダ類）,2cm,水深5～50m
サンゴテッポウエビ,Alpheus lottini,東京湾以南、小笠原諸島、東南アジア、ガラパゴス、インド洋,サンゴ礁（枝状サンゴ）,4cm,水深1m以深
ツノナシテッポウエビ,Alpheus frontalis,奄美大島以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁原、礁斜面、サンゴ瓦礫（藻類）,4.5cm,水深3m以深
フタミゾテッポウエビ,Alpheus bisincisus,東京湾以南、東南アジア、オーストラリア、インド洋、アフリカ東岸,内湾、転石帯、砂泥底,4cm,1～50m
アカシマオハリコテッポウエビ,Alpheus sp. I,駿河湾、紀伊半島,内湾、転石帯、砂泥底,2.5cm,18m以深
コモンテッポウエビ,Alphaeus sp.2,駿河湾、紀伊半島,内湾、岩礁、砂泥底、転石下、貝殻砂底,3cm,4～15m
ハナナシテッポウエビ,Alphaeus sp.4,駿河湾、紀伊半島,内湾、砂泥底、転石下,2.5cm,18～25m
ニシキテッポウエビ,Alpheus bellulus,伊豆半島以南、東南アジア、オーストラリア北部、インド洋,砂底、砂泥底、砂礫底（ハゼ類）,4.5cm,5～25m
トウゾクテッポウエビ,Alpheus rapax,琉球列島以南、東南アジア、オーストラリア北部、ハワイ、インド洋、紅海,砂底、砂泥底、砂礫底（ハゼ類）,5cm,7m以深
モンツキテッポウエビ,Alpheus djeddensis,琉球列島以南、オーストラリア北部、インド洋、紅海、大西洋,砂底、砂泥底、砂礫底（ハゼ類）,,3～15m
ランドールズピストルシュリンプ,Alpheus randalli,駿河湾以南、インドネシア、マーシャル諸島、ハワイ,砂底、砂泥底、砂礫底,4cm,10m以深
アーマーシュリンプ,Alpheus sp. 10,琉球列島,汽水域、アマモ場、内湾砂泥底、河口,8cm,1～5m
マッディーシュリンプ,Alpheus sp. 11,,内湾、砂泥底,3cm,15m
ベッドロックシュリンプ,Alpheus sp. 12,,内湾、サンゴ瓦礫の混じる砂泥底,4cm,10m
ソルジャーシュリンプ,Alpheus sp. 13,,,3.5cm,1m
ラスティシュリンプ,Alpheus sp. 14,,サンゴ礁、サンゴ砂礫の砂地,4.5cm,8m
ブラキッシュウォーターシュリンプ,Alpheus sp. 15,,内湾、汽水域、砂泥底,2.5cm,2m
ジャイアントゴビーシュリンプ,Alpheus sp. 16,,内湾、砂泥底,10cm,20m
ブラックスポットシュリンプ,Alpheus sp. 17,,サンゴ礁、礁池内、礫の多い砂底,4cm,15m
レッドフィラーシュリンプ,Alpheus sp. 18,,サンゴ礁、内湾、砂地、砂泥底,1.5cm,15m
サンゴモエビ,Saron neglectus,土佐湾以南、東南アジア、フランス領ポリネシア、インド洋、紅海,サンゴ礁、内湾、サンゴ瓦礫下、枝状サンゴ,3cm,7m以深
フシウデサンゴモエビ,Saron marmoratus,紀伊半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、内湾、サンゴ瓦礫下,4cm,7m以深
オリビアシュリンプ,Saron sp. 2,インドネシア、パプアニューギニア、インド洋,サンゴ礁、礁斜面、礁壁、岩穴,4.5cm,20m以深
リュウグウモエビ,Parlyippoly mistica,琉球列島以南、パラオ、ハワイ、インド洋,サンゴ礁、水路、礁壁、礁洞,6cm,2～40m
ヤマトモエビ,Eualus leptognathus,北海道～九州、サハリン、中国,岩礁、潮間帯、転石下,2cm,2～10m
カムチャッカモエビ,Heptacarpus camtschaticus,千島列島～天草諸島、東シナ海、カムチャッカ、北東太平洋,岩礁、礁斜面、海藻類,2cm,20～180m
ヤドリツノモエビ,Heptacarpus commensalis,伊豆半島～天草諸島,サンゴ礁、岩礁、礁斜面、枝状サンゴ、ウミトサカ類,15cm,15m以深
アシナガモエビモドキ,Heptacarpus filirostrис,房総半島～南九州、中国,岩礁、転石帯、潮間帯、海藻類,4cm,1～130m
コシマガリモエビ,Heptacarpus geniculatus,北海道～九州、中国,潮間帯、藻場,3.5cm,1m以深
クサイロモエビ,Heptacarpus grebrachii,北海道～東北地方、日本海、サハリン,潮間帯、藻場,2cm,1～3m
キタモエビモドキ,Bruvela borealis,北海道沿岸、サハリン,岩礁、礁原、礁斜面、ヒトデ類、ホヤ類,3cm,3～135m
バルスイバラモエビ,Lebbeus lagunoi,伊豆半島、富山湾、東シナ海,岩礁、礁斜面、イソギンチャク類,15cm,30～120m
コマチイバラモエビ,Lebbeus comanthis,房総半島、伊豆半島,岩礁、礁斜面、ウミシダ類,2cm,6～40m
ヤドリイバラモエビ,Lebbeus grandimanus,北海道北部、富山湾、オホーツク海、ベーリング海、北東大平洋,岩礁、礁斜面、イソギンチャク類,3.5cm,15～250m
キタイバラモエビ,Lebbeus brandti,北海道、オホーツク海、北東大平洋,岩礁、礁原、礁斜面、転石帯、海藻類,1.3cm,5～250m
カラフトシマモエビ,Lebbeus groenlandicus,北海道、サハリン、オホーツク海,岩礁、礁原、礁斜面、転石下,2cm,2～10m
オホーツクトゲモエビ,Spirontocaris ochotensis,宮城県～北海道、オホーツク海、ベーリング海、北東大平洋,岩礁、礁原、礁斜面、転石下,,4～247m
ムツトゲモエビ,Spirontocaris multiocanthata,千島列島～陸奥湾、ベーリング海、北東大平洋,岩礁、礁原、礁斜面、転石下,2cm,4～150m
イソギンチャクモエビ,Thor amboinensis,伊豆半島以南、東南アジア、インド洋、東部太平洋、西部大西洋,サンゴ礁、岩礁、イソギンチャク類、イシサンゴ類,0.8cm,10m以深
ナガレモエビ,Hippolyte sp. 1,伊豆半島以南、インドネシア、ハワイ,サンゴ礁、岩礁、潮間帯、藻場,0.6cm,3m以深
,Hippolyte commercalis,小笠原諸島以南、オーストラリア北部、インド洋、紅海,サンゴ礁、礁斜面、チヂミトサカ類、ウミアザミ類,2.5cm,12m以深
アカシマシラヒゲエビ,Lysmata amboinensis,伊豆半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、離れ根、岩礁、転石帯,5cm,10～30m
ホワイトソックス,Lysmata amboinensis debelius,琉球列島以南、東南アジア、インド洋,サンゴ礁、離れ根、岩礁,5cm,10～30m
アカシマモエビ,Lysmata vittata,房総半島以南、韓国、東南アジア、インド洋、紅海,内湾、砂泥底、岩礁、転石帯,2cm,3m以深
スカシモエビ,Lysmatella prima,駿河湾以南、東南アジア、インド洋,内湾、砂泥底、転石帯,2cm,15m以深
トガリモエビ,Tozeuma armatum,相模湾以南、ニューカレドニア、インド洋,内湾、砂泥底、ヤギ類,2cm,20～100m
ロウソクエビ,Hayahidona japonica,房総半島以南、東南アジア、インド洋、アフリカ東南部,内湾、砂泥底,3cm,3～150m
チビツノロウソクエビ,Nikoides lissus,琉球列島以南、東南アジア、ハワイ,サンゴ礁、離れ根、内湾、砂泥底,3cm,5m以深
ミナミロウソクエビ,Nikoides sibogae,伊豆半島以南、東南アジア、インド洋,内湾、砂泥底,2cm,10～100m
ホッカイエビ,Pandalus latirostris,日本海沿岸、岩手県～北海道沿岸、オホーツク海、サハリン、韓国,岩礁、潮間帯、藻場,13cm,1～6m
ベニスジエビ,Pandalus goniurus,北海道沿岸、ベーリング海、アメリカ合衆国北東部,砂底、砂泥底、礁斜面、転石帯,3cm,2～450m
スナエビ,Pandalus prensor,北海道東部、サハリン、シベリア,岩礁、礁原、礁斜面、転石帯、岩穴,4.5cm,3～250m
モロトゲアカエビ,Pandalopsis japonica,福井県～北海道、韓国東岸、シベリア,岩礁、礁斜面、砂底、砂泥底,7cm,25～530m
イズミエビ,Plesionikaizumiae,日本海沿岸、東京湾～九州西岸、東シナ海,内湾、砂泥底、イソギンチャク類,3cm,50～100m
ハクセンエビ,Plesionikaintermedius,伊豆半島以南、インドネシア、フィリピン,内湾、砂泥底、転石帯、イソギンチャク類,4cm,20～100m
エリマキエビ,Plesionikaermanni,伊豆半島～鹿児島、東南アジア,内湾、砂泥底、転石帯、イソギンチャク類,5cm,20～100m
オキノスジエビ,,相模湾以南、東南アジア、フランス領ポリネシア、インド洋、地中海、大西洋,サンゴ礁、岩礁、礁斜面、礁洞、礁壁、岩穴、転石帯,7cm,40～400m
ウミカラマツエビ,Atachloro curtis commensalis,三浦半島～紀伊半島,岩礁、礁斜面、ウミカラマツ類,1cm,15m以深
ビシャモンエビ,Miropandulus hardingei,伊豆半島以南、マーシャル諸島,サンゴ礁、岩礁、礁斜面、ムチカラマツ類,1cm,18～58m
トゲエビジャコ,Metacrangon atagotica,北海道～九州,砂底、砂礫底、貝殻礫底,1.5cm,3m以深
カジワラエビ,Paracrangon echinata,福井県～北海道の日本海、相模湾、韓国東岸、オホーツク海、北東大平洋,岩礁、礁原、礁斜面、転石帯,3cm,"10～1,380m"
オトヒメエビ,Stenopus hispidus,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、大西洋,サンゴ礁、岩礁、礁原、礁斜面、転石帯,6cm,5～40m
バイオレットボクサーシュリンプ,Stenopus tenuirostris,琉球列島以南、インドネシア、インド洋,サンゴ礁、礁原、礁斜面、サンゴ瓦礫、転石下,3cm,5～30m
イセエビ,Panulirus japonicus,茨城県以南、韓国、中国、台湾,岩礁、磯根、転石帯,40cm,0～40m
カノコイセエビ（アカエビ型）,Panulirus longipes femoristriga,小笠原諸島,岩礁、礁斜面、磯根,40cm,10～40m
カノコイセエビ（シラヒゲエビ型）,Panulirus longipes longipes,房総半島以南、東南アジア、ニューカレドニア、フランス領ポリネシア,サンゴ礁、礁原、礁斜面、磯根,30cm,5～30m
シマイセエビ,Panulirus penicillatus,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海、アメリカ西海岸,サンゴ礁、礁縁、潮間帯,40cm,0～10m
ニシキエビ,Panulirus ornatus,相模湾以南、東南アジア、オーストラリア北部、ニューカレドニア、インド洋、紅海,内湾、サンゴ礁、礁縁、転石帯、砂泥底,60cm,3～15m
ゴシキエビ,Panulirus versicolor,相模湾以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋,サンゴ礁、礁原、礁斜面,55cm,3～20m
カギテリョウマエビ,Justitia longimanus,紀伊半島以南、ハワイ、フランス領ポリネシア、西部インド洋、西部大西洋,サンゴ礁、岩礁、礁斜面、礁洞,30cm,30m以深
セミエビ,Scyllarides squamosus,房総半島以南、台湾、オーストラリア、ニューカレドニア、ハワイ、インド洋西部,サンゴ礁、水路、礁縁、礁壁、岩礁、潮間帯,30cm,2～30m
コブセミエビ,Scyllarides haani,相模湾以南、台湾、インドネシア、オーストラリア、ハワイ、モーリシャス、紅海,サンゴ礁、水路、礁縁、礁壁、岩礁、潮間帯,,10～30m
ヒメセミエビ,Scyllarus japonicus,房総半島以南、台湾、フィリピン、インドネシア,岩礁、磯、礁原、礁斜面、転石帯,6cm,5～30m
キタンヒメセミエビ,Scyllarus obtusus,伊豆半島以南、韓国、台湾,岩礁、磯、礁原、礁斜面、転石帯,5cm,5～30m
ウチワエビ,Ibacus ciliatus,房総半島以南、韓国、東南アジア、オーストラリア北部,岩礁、礁斜面、転石帯、砂底、砂泥底,17cm,15～250m
オオバウチワエビ,Ibacus novemdentatus,相模湾以南、インド洋西部,岩礁、礁斜面、転石帯、砂底、砂泥底,15cm,15～250m
ゾウリエビ,Parribacus japonicus,房総半島以南、台湾,岩礁、転石帯、潮間帯,15cm,5～30m
ミナミゾウリエビ,Parribacus antarcticus,琉球列島以南、東南アジア、オーストラリア北部、ハワイ、フランス領ポリネシア、インド洋、西部大西洋,サンゴ礁、水路、礁壁、礁洞、潮間帯,15cm,2～30m
ホンドオニヤドカリ,Aniculus miyahei,房総半島～九州（太平洋側）、新潟～鳥取（日本海側）、台湾,岩礁、礁原、礁斜面、転石帯,甲長4cm,5～90m
コガネオニヤドカリ,Aniculus maximus,紀伊半島以南、ハワイ、フランス領ポリネシア、セイシェル諸島,サンゴ礁、岩礁、礁斜面、転石帯,甲長20cm,10m以深
オキナワオニヤドカリ,Aniculus atoui,伊豆諸島以南、ミクロネシア、インド洋,サンゴ礁、岩礁、礁原、礁斜面、転石帯,,3m以深
クロシマオニヤドカリ,Aniculus retipes,琉球列島以南、東南アジア,サンゴ礁、岩礁、礁原、礁縁、転石帯,甲長5cm,1m以深
アミメオニヤドカリ,Aniculus retipes,八丈島以南、東南アジア、インド洋、紅海,サンゴ礁、岩礁、礁原、礁斜面,甲長3.5cm,3m以深
イソヨコバサミ,Clibanarius virescens,房総半島以南、インドネシア、オーストラリア北部、フィジー、インド洋,内湾、岩礁、転石帯、潮間帯,甲長1cm,2～15m
ケブカヒメヨコバサミ,Paguristes ortudnili,北海道～九州、韓国、黄海,内湾、岩礁、転石帯、潮間帯,甲長2.5cm,1～210m
ヒノマルヒメヨコバサミ,Paguristes baknophilus,相模湾～九州西岸、アンダマン海,内湾、砂泥底,,20～50m
ベニワモンヤドカリ,Ciliopagurus strigatus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁原、礁斜面,甲長1.5cm,3～30m
ユビナガワモンヤドカリ,Ciliopagurus brevipes,房総半島以南、マレーシア、フランス領ポリネシア、インド洋,岩礁、礁斜面、転石帯、砂底,甲長1cm,20～100m
トゲトゲツノヤドカリ,Diogenes spinifrons,茨城県～九州（太平洋側）、山形県～九州（日本海側）、東シナ海,内湾、砂浜帯、砂底、砂泥底,甲長1cm,5～30m
トゲツノヤドカリ,Diogenes japonicus,茨城県～九州（太平洋側）、新潟県～九州（日本海側）、東シナ海、香港,内湾、砂浜帯、砂底、砂泥底,甲長1cm,10～95m
ユビワサンゴヤドカリ,Calcinus elegans,房総半島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋,サンゴ礁、礁原、礁斜面（枝状サンゴ）,,3～15m
ツマジロサンゴヤドカリ,Calcinus minutus,房総半島以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁、礁原、礁斜面（枝状サンゴ）,,1～15m
