和名,学名,分布,生息場所,体長,深さ
シマウミヘビ,Myrichthys colubrinus,高知県柏島、琉球列島；インド・太平洋,サンゴ礁の砂底,70cm,7m
モンガラドオシ,Ophichthus erabo,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,沿岸の砂礫底,80cm,25m
イレズミウミヘビ,Ophichthus bonaparti,南日本の太平洋岸；インド・西太平洋,サンゴ礁および岩礁の砂底,70cm,15m
ホタテウミヘビ,Ophisurus altipennis,南日本、琉球列島；朝鮮半島沿岸の砂泥底,砂泥底,1.2m,12m
ダイナンウミヘビ,Ophisurus macrorhynchos,インド・西太平洋、大西洋内湾の浅所から水深500mぐらいまで,内湾の浅所から水深500mぐらいまで,1.5m,18m
ゴマウミヘビ,Apterichtus moseri,駿河湾,砂泥底,50cm,25m
ホオジロゴマウミヘビ,Apterichtus australis,南日本の太平洋岸、八丈島；中・西部太平洋の熱帯域,浅海砂底域,60cm,23m
ムラサキウミヘビ,Brachysomophis porphyreus,南日本の太平洋岸；台湾、中国南部大陸棚,砂底,60cm,20m
チンアナゴ,Heteroconger hassi,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁の砂底,40cm,20m
ゼブラアナゴ,Heteroconger polyzona,沖縄島、西表島；インド・西太平洋,サンゴ礁の砂底,30cm,5m
ニシキアナゴ,Gorgasia preclara,琉球列島、小笠原諸島；インド・西太平洋,,30cm,20m
アキアナゴ,Gorgasia taiwanensis,南日本の太平洋岸、西表島、台湾,サンゴ礁の砂底,30cm,20m
ハナアナゴ,Ariosoma anago,神奈川県以南の南日本の太平洋岸、伊豆・小笠原諸島、東シナ海、東インド諸島,浅海砂泥域,50cm,12m
クロアナゴ,Conger jordani,南日本、八丈島、朝鮮半島、台湾,浅海岩礁域、砂地,80cm,7m
キビナゴ,Spratelloides gracilis,南日本、伊豆大島、琉球列島；インド・太平洋,外洋の水の影響の強い沿岸域,5cm,3m
マイワシ,Sardinops melanostictus,北海道以南、南日本；サハリン東岸のオホーツク海、日本海沿岸、朝鮮半島南部、中国南沿岸、台湾,沿岸から沖合の海面近く,15cm,5m
サバヒー,Chanos chanos,高知県以南の南日本の太平洋岸、琉球列島；インド・汎太平洋沿岸浅海域、河川,沿岸浅海域、河川,70cm,15m
ゴンズイ,Plotosus japonicus,南日本、伊豆・小笠原諸島、琉球列島、朝鮮半島、中国、台湾,沿岸岩礁域,8cm,12m
ヒメ,Hime japonica,南日本、西・中部太平洋の熱帯域,砂底,15cm,30m
ホタテエソ,Pseudotrichonotus altivelis,相模湾、駿河湾、高知県,水深30mの砂底,8cm,30m
トカゲエソ,Saurida elongata,青森県以南の南日本、沖縄島；朝鮮半島、中国、台湾,浅海～やや深みの砂泥底,30cm,22m
マエソ,Saurida macrolepis,南日本；東シナ海,100m以浅の砂泥底,30cm,20m
マダラエソ,Saurida gracilis,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・太平洋,潮だまり、礁池の砂底,22cm,7m
オキエソ,Trachinocephalus trachinus,南日本、琉球列島；全世界の温・熱帯域,浅海の砂底や砂泥底,30cm,20m
ホシノエソ,Synodus hoshinonis,南日本、伊豆・小笠原諸島；インド・西太平洋,砂底,17cm,15m
オグロエソ,Synodus jaculum,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,砂底,17cm,10m
ヒトスジエソ,Synodus variegatus,南日本の太平洋沿岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域やサンゴ礁域,20cm,15m
アカエソ,Synodus ulae,南日本の太平洋沿岸、伊豆・小笠原諸島、琉球列島；ハワイ,岩礁から砂地,20cm,8m
ミナミアカエソ,Synodus dermatogenys,南日本の太平洋岸、八丈島、小笠原諸島、琉球列島；インド・太平洋,岩礁から砂地、サンゴ礁域のサンゴと砂地の境目,17cm,12m
イタチウオ,Brotula multibarbata,南日本、伊豆・小笠原諸島、琉球列島；インド・太平洋,浅海の岩礁域、岩礁の隙間,30cm,10m
キアンコウ,Lophius litulon,北海道以南、南日本；黄海、東シナ海,砂地,1m,30m
アンコウ,Lophiomus setigerus,北海道以南、南日本：インド・太平洋,水深30~50m,40cm,25m
ホンフサアンコウ,Chaunax fimbriatus,青森県、南日本の太平洋岸：西部太平洋,水深284~500m,30cm,45m
アカグツ,Halieutaea stellata,青森県以南、南日本の太平洋岸、伊江島：西部太平洋,海底,25cm,30m
ハナオコゼ,Histrio histrio,日本各地；東部太平洋を除く全世界の温・熱帯域,流れ藻、沿岸～沖合いの表層,10cm,水面下
ソウシカエルアンコウ,Fowlerichthys scriptissimus,南日本の太平洋岸、伊豆・小笠原諸島；インド・西太平洋,沿岸の水深185m以浅の岩礁域,30cm,30m
カエルアンコウ,Antennarius striatus,南日本、伊豆・小笠原諸島；東部太平洋を除く全世界の温・熱帯域,沿岸の水深19m以浅の砂底または砂泥底,12cm,10m
オオモンカエルアンコウ,Antennarius commerson,南日本の太平洋沿岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,沿岸浅所の岩礁域やサンゴ礁域,20cm,12m
クマドリカエルアンコウ,Antennarius maculatus,南日本の太平洋岸、伊豆諸島、琉球列島；インド・西太平洋,沿岸浅所の岩礁域やサンゴ礁域,15cm,15m
イロカエルアンコウ,Antennarius pictus,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,沿岸浅所の岩礁域やサンゴ礁域,10cm,7m
ヒメヒラタカエルアンコウ,Antennarius randalli,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；中・西部太平洋,岩礁やサンゴ礁の礫底,3cm,7m
ウルマカエルアンコウ,Antennatus coccineus,八丈島、琉球列島；インド・汎太平洋,サンゴ礁域,15cm,12m
カエルアンコウモドキ,Antennatus tuberosus,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域の浅所,3cm,7m
ベニカエルアンコウ,Antennatus nummifer,南日本の太平洋岸、伊豆・小笠原諸島、インド・太平洋、東部大西洋,沿岸の水深293m以浅の岩礁域,7cm,7m
ウケグチイットウダイ,Neoniphon sammara,紀伊半島以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域、岩礁域,15cm,7m
ヒレグロイットウダイ,Neoniphon opercularis,八丈島、琉球列島；インド・太平洋,サンゴ礁,25cm,10m
ホホベニイットウダイ,Neoniphon aurolineatus,紀伊半島以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,20cm,45m
トガリエビス,Sargocentron spiniferum,八丈島、紀伊半島以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域、サンゴ礁域,28cm,20m
クラカケエビス,Sargocentron caudimaculatum,高知県以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域,20cm,10m
スミツキカノコ,Sargocentron melanospilos,八丈島、高知県以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,岩礁域,20cm,15m
アヤメエビス,Sargocentron rubrum,南日本の太平洋岸、琉球列島；インド・西太平洋、東部地中海（侵入）,岩礁域,15cm,12m
アオスジエビス,Sargocentron tiere,"琉球列島, 小笠原諸島; インド・太平洋","サンゴ礁域, 岩の陰",25cm,15m
ニジエビス,Sargocentron diadema,"南日本の太平洋岸, 琉球列島, 小笠原諸島; インド・太平洋",サンゴ礁域,17cm,12m
テリエビス,Sargocentron ittodai,"南日本の太平洋岸, 伊豆・小笠原諸島, 琉球列島; インド・太平洋","岩礁域, サンゴ礁域",18cm,12m
イットウダイ,Sargocentron spinosissimum,"隠岐島, 南日本の太平洋岸, 伊豆・小笠原諸島, 琉球列島; 台湾, ハワイ",岩礁域,20cm,20m
ヒメエビス,Sargocentron microstoma,琉球列島、小笠原諸島；インド・太平洋,サンゴ礁域,18cm,10m
ヤセエビス,Pristilepis oligolepis,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁、岩の亀裂,25cm,35m
ベニマツカサ,Myripristis vittata,和歌山県以南の日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,12cm,12m
クロオビマツカサ,Myripristis kuntee,和歌山県以南の日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,サンゴ礁域、潮下帯、礁池、沖合いのサンゴ礁,13cm,8m
アカマツカサ,Myripristis berndti,琉球列島、小笠原諸島；インド・汎太平洋,サンゴ礁域、洞窟や岩の裂け目,15cm,28m
キビレマツカサ,Myripristis chryseres,駿河湾以南の南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,13cm,25m
ツマグロマツカサ,Myripristis adusta,南日本の太平洋岸、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,15cm,10m
ウロコマツカサ,Myripristis botche,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・西太平洋,岩礁域やサンゴ礁域外縁の25m以深,15cm,30m
セグロマツカサ,Myripristis violacea,琉球列島；インド・太平洋,サンゴ礁域,15cm,12m
ヨゴレマツカサ,Myripristis murdjan,琉球列島、小笠原諸島；インド・太平洋,岩礁域やサンゴ礁域,13cm,12m
ナミマツカサ,Myripristis kochiensis,南日本の太平洋岸、八丈島、琉球列島,岩礁域,9cm,5m
マツカサウオ,Monocentris japonica,南日本の太平洋岸、琉球列島、小笠原諸島；インド・西太平洋,沿岸浅所の岩礁棚付近,10cm,12m
マトウダイ,Zeus faber,北海道以南、南日本；インド・西太平洋、東部大西洋,水深100〜200m,30cm,30m
ウミテング,Eurypegasus draconis,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；クレ環礁～ハワイ諸島を除くインド・太平洋,沿岸浅所の砂底,5cm,15m
テングノオトシゴ,Pegasus laternarius,相模湾、駿河湾、高知県；インド・西太平洋,沿岸浅所の砂泥底,8cm,15m
ヘラヤガラ,Aulostomus chinensis,南日本、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,サンゴ礁域の浅所,30cm,10m
アオヤガラ,Fistularia commersonii,北海道以南、南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,沿岸浅所,50cm,3m
アカヤガラ,Fistularia petimba,北海道以南、南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；東部太平洋を除く全世界の温・熱帯域,やや沖合いの深みに生息,60cm,12m
サギフエ,Macroramphosus sagifue,北海道以南、南日本；インド・西太平洋、大西洋,水深15〜150mの砂泥底、大陸棚縁辺域,10cm,20m
ヘコアユ,Aeoliscus strigatus,南日本の太平洋岸、琉球列島；インド・太平洋,サンゴ礁域浅所の砂底域,12cm,16m
ヨロイウオ,Centriscus scutatus,和歌山県以南の南日本の太平洋岸、琉球列島；インド・西太平洋,内湾浅所の泥底域,10cm,10m
ニシキフウライウオ,Solenostomus paradoxus,南日本の太平洋岸，琉球列島；インド・太平洋,沿岸浅所の岩礁域に生育するウミシダ類やトサカ類付近,5cm,8cm
カミソリウオ,Solenostomus cyanopterus,南日本の太平洋岸、伊豆諸島、琉球列島、インド・西太平洋,沿岸浅所の岩礁域やサンゴ礁の付近の海藻床や砂底,9cm,5m
ダイダイヨウジ,Maroubra yasudai,伊豆半島、伊豆大島,岩礁域,13cm,25m
クチナガイシヨウジ,Corythoichthys schultzi,和歌山県、高知県、琉球列島；インド・太平洋,サンゴ礁,15cm,10m
イシヨウジ,Corythoichthys haematopterus,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,岩礁およびサンゴ礁,15cm,10m
オビイシヨウジ,Corythoichthys amplexus,琉球列島；インド・西太平洋,サンゴ礁,15cm,12m
ヒフキヨウジ,Trachyrhamphus serratus,南日本、伊豆大島、琉球列島；東部インド洋～西部太平洋の熱帯域,砂底、砂泥底,25cm,20m
ワカヨウジ,Trachyrhamphus bicoarctatus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・西太平洋,砂底、小石底や岩礁,30cm,12m
オイランヨウジ,Doryrhamphus (Dunckerocampus) dactyliophorus,福島県、南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,岩礁およびサンゴ礁,15cm,9m
ヒバシヨウジ,Doryrhamphus (Doryrhamphus) excisus excisus,南日本の太平洋岸、八丈島、琉球列島、小笠原諸島；インド・汎太平洋,岩礁およびサンゴ礁、岩穴や裂け目,7cm,12m
ノコギリヨウジ,Doryrhamphus (Doryrhamphus) japonicus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；台湾,岩礁、岩礁域の穴や裂け目,7cm,7m
タツウミヤッコ,Halicampus macrorhynchus,相模湾、琉球列島、インド・西太平洋,サンゴ礁域の海藻、砂底や小石底,18cm,12m
ホソウミヤッコ,Halicampus boothae,南日本の太平洋岸、伊豆諸島、兵庫県の日本海岸、インド・西太平洋,岩礁域およびサンゴ礁域,15cm,7m
トゲヨウジ,Syngnathoides biaculeatus,南日本の太平洋岸、八丈島、兵庫県浜坂、琉球列島；インド・太平洋,湾内の海藻、浮遊海藻,20cm,水面下
タツノイトコ,Acentronura (Acentronura) gracilissima,南日本の太平洋岸、伊豆・小笠原諸島、沖縄島；インドシナ半島南岸,湾内の海藻、浮遊海藻,12cm,13m
タツノハトコ,Acentronura (Acentronura) tentaculata,琉球列島；インド・西太平洋,湾内の海藻、サンゴ礁の砂底～小石底,10cm,12m
ハナタツ,Hippocampus sindonis,南日本、伊豆諸島；朝鮮半島南部,沿岸域の岩礁,7cm,5m
タツノオトシゴ,Hippocampus coronatus,北海道以南、南日本、伊豆大島；朝鮮半島南部,浅海域沿岸の藻場,12cm,7m
タカクラタツ,Hippocampus trimaculatus,南日本の太平洋岸、兵庫県、琉球列島、朝鮮半島南部、東部インド洋〜西部太平洋の熱帯域,岩礁や浅海域の砂底や小石底,12cm,20m
オオウミウマ,Hippocampus kelloggi,南日本の太平洋岸、伊豆諸島、琉球列島；インド・西太平洋,沿岸域の岩礁,5cm,23m
イバラタツ,Hippocampus histrix,南日本の太平洋岸、伊豆大島；インド・太平洋,浅海の沿岸岩礁、ヤギ類や砂地にある海藻,7cm,25m
クロウミウマ,Hippocampus kuda,南日本の太平洋岸、八丈島、琉球列島；インド・太平洋,川や湾の汽水域、ごく浅所,8cm,2m
サンゴタツ,Hippocampus mohnikei,函館以南、南日本の太平洋岸；中国、ベトナム,沿岸域の海藻や砂泥底,8cm,5m
ボラ,Mugil cephalus,北海道以南、南日本、伊豆・小笠原諸島、琉球列島；西アフリカを除く全世界の温・熱帯域,沿岸域の浅海、河川の淡水域〜汽水域,40cm,3m
タイワンメナダ,Moolgarda seheli,南日本の太平洋岸、琉球列島；インド・太平洋,沿岸域の浅海、河川の淡水域,30cm,5m
フウライボラ,Crenimugil crenilabis,南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋,サンゴ礁の浅海域,30cm,5m
センニンサヨリ,Hyporhamphus quoyi,長崎、琉球列島、小笠原諸島；東部インド洋～西部太平洋の熱帯域,内湾沿岸,20cm,水中下
オキザヨリ,Tylosurus crocodilus crocodilus,津軽水道以南、南日本、伊豆・小笠原諸島、琉球列島；東部太平洋を除く世界の温・熱帯域,沿岸の表海水層,70cm,水面下
リュウキュウダツ,Strongylura incisa,琉球列島；インド・太平洋沿岸の表海水層に生息,沿岸の表海水層,50cm,水面下
ヒメダツ,Platybelone argalus platyura,八丈島、琉球列島、小笠原諸島；インド洋北西部を除くインド・太平洋沿岸の表海水層,沿岸の表海水層,50cm,水面下
アヤメカサゴ,Sebastiscus albofasciatus,"南日本, 伊豆諸島; 朝鮮半島南部, 中国南部, 香港",岩礁,25cm,20m
カサゴ,Sebastiscus marmoratus,"南北海道以南, 南日本, 伊豆諸島; 朝鮮半島, 中国, 台湾",浅海の岩礁、岩陰、砂地,25cm,25m
アカメバル,Sebastes inermis,積丹半島～九州北部; 朝鮮半島南部,沿岸の藻場,15cm,5m
シロメバル,Sebastes cheni,津軽海峡～九州北・西部; 朝鮮半島南東部,沿岸の岩礁,15cm,5m
クロメバル,Sebastes ventricosus,津軽海峡～九州北部、伊豆諸島,外洋に面した岩礁,20cm,15m
トゴットメバル,Sebastes joyneri,青森県以南、南日本、伊豆大島；朝鮮半島南部,沿岸の深い岩礁,20cm,20m
ムラソイ,Sebastes pachycephalus pachycephalus,北海道以南、南日本；朝鮮半島南部、黄海,浅海の岩礁、岩や石の間,22cm,7m
ヨロイメバル,Sebastes hubbsi,青森県以南、南日本；朝鮮半島南部,浅海の岩礁、アマモ、ガラモ場,25cm,7cm
ハチ,Apistus carinatus,南日本；インド・西太平洋,浅海の砂泥底,15cm,10m
セトミノカサゴ,Parapterois heterura,南日本の太平洋岸；インド・西太平洋,浅海の砂泥底,20cm,15m
ヒレボシミノカサゴ,Dendrochirus biocellatus,八丈島、紀伊半島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,13cm,10m
シマヒメヤマノカミ,Dendrochirus brachypterus,南日本の太平洋岸、伊豆大島、琉球列島；インド・太平洋,砂泥底、礁池の岩礁,15cm,7m
キリンミノ,Dendrochirus zebra,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,岩礁域、サンゴ礁域,14cm,5m
ヒメヤマノカミ,Dendrochirus bellus,南日本の太平洋岸；西部太平洋の熱帯域,岩礁域、サンゴ礁域,18cm,10m
キミオコゼ,Pterois radiata,南日本の太平洋岸、伊豆諸島、琉球列島；インド・太平洋,沿岸の岩礁域、砂底および砂泥底,15cm,20m
ネッタイミノカサゴ,Pterois antennata,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・太平洋,50m以浅の岩礁およびサンゴ礁、礁池,15cm,8m
ミノカサゴ,Pterois lunulata,南北海道以南、南日本、伊豆・小笠原諸島、琉球列島、朝鮮半島、中国,沿岸の岩礁,20cm,30m
ハナミノカサゴ,Pterois volitans,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～中・西部太平洋の熱帯域,沿岸の岩礁、サンゴの根,22cm,12m
ハダカハオコゼ,Taenianotus triacanthus,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；インド・汎太平洋,サンゴ礁の外側、水深15〜20mのサンゴ礁、岩の上,10cm,20m
ボロカサゴ,Rhinopias frondosa,南日本の太平洋岸、伊豆大島；インド・太平洋,沿岸の岩礁,20cm,10m
ナミダカサゴ,Rhinopias argoliba,相模湾～高知までの南日本の太平洋岸,岩礁域,30cm,32m
サツマカサゴ,Scorpaenopsis neglecta,南日本の太平洋岸、伊豆・小笠原諸島、琉球列島；東部インド洋～西部太平洋の熱帯域,サンゴ礁と岩礁内の砂底にある岩付近,20cm,12m
ニライカサゴ,Scorpaenopsis diabolus,八丈島、高知県以南の南日本の太平洋岸、琉球列島、小笠原諸島；インド・太平洋浅海,岩礁とサンゴ礁,18cm,12m
ヒメサツマカサゴ,Scorpaenopsis cotticeps,南日本の太平洋岸、伊豆大島；西部インド洋、西部太平洋の熱帯域,岩礁の浅海域,7cm,20m
ウルマカサゴ,Scorpaenopsis papuensis,南日本の太平洋岸、八丈島、琉球列島；西部インド洋～中・西部太平洋の熱帯域,岩礁域やサンゴ礁域の浅所の海底,23cm,20m
ミミトゲオニカサゴ,Scorpaenopsis possi,伊豆諸島、対馬、琉球列島；インド・太平洋,岩礁域やサンゴ礁域の海底,25cm,7m
オニカサゴ,Scorpaenopsis cirrosa,南日本、伊豆諸島、琉球列島；中国、台湾,浅海の岩礁,20cm,10m
ニラミカサゴ,Sebastapistes tinkhami,八丈島、琉球列島、小笠原諸島；インド・西太平洋,浅海の岩礁、サンゴ礁、ヘラジカハナヤサイサンゴの隙間,7cm,10m
カスリフサカサゴ,Sebastapistes cyanostigma,八丈島、琉球列島、小笠原諸島；インド・太平洋,浅海の岩礁、サンゴ礁,5cm,13m
イソカサゴ,Scorpaenodes evides,南日本の太平洋岸、伊豆・小笠原諸島；インド・西太平洋,浅海の岩礁域,5cm,10m
イズカサゴ,Scorpaena neglecta,"南日本, 伊豆大島; 朝鮮半島, 黄海, 南シナ海",砂泥底,35cm,32m
フサカサゴ,Scorpaena onaria,"南日本, 伊豆大島, 小笠原諸島; 朝鮮半島南部, 台湾",岩礁,15cm,28m
コクチフサカサゴ,Scorpaena miostoma,"南日本, 伊豆諸島; 朝鮮半島南部, 台湾",浅海の岩礁,12cm,25m
ダンゴオコゼ,Caracanthus maculatus,"八丈島, 高知県沖ノ島, 琉球列島, 小笠原諸島; 中・西部太平洋の熱帯域",サンゴ,5cm,8m
ツマジロオコゼ,Ablabys taenianotus,南日本の太平洋、伊豆諸島、琉球列島；東部インド洋～西部大西洋の熱帯域,サンゴ礁、岩礁、海藻のそば,8cm,10m
ハオコゼ,Hypodytes rubripinnis,青森県以南、南日本、伊豆諸島；朝鮮半島南部,浅海のアマモ場、岩礁,4cm,12m
