和名,学名,分布,生息場所,体長,深さ
キマダラハゼ,"Astrabe lactisella Akihito et Meguro, 1988",日本固有: 伊豆大島、相模湾、伊豆半島、鹿児島馬毛島、種子島,岩礁性海岸の潮間帯下部、粗めの砂礫上の転石間や下,5cm,4m
シロクラハゼ,"Astrabe lactisella Jordan et Snyder, 1901",日本固有: 宮城県～三重県,岩礁性海岸の潮間帯下部、砂底に転石が積み重なったところの転石間や下,5cm,3m
シモフリセジロハゼ,"Ctenogobius griseus Snyder, 1911",日本固有: 伊豆諸島、長崎県、種子島、屋久島,岩礁性海岸の潮間帯下部、粗めの砂礫上の転石間や下,5cm,3m
オキナワハゼ,"Callogobius hasseltii (Bleeker, 1851)",伊豆半島、徳島県、高知県柏島、鹿児島県、琉球列島; インド・太平洋,サンゴ礁域の礁池・礁湖・礁原・礁斜面、砂底の死サンゴ片や死サンゴ塊の下,4-7cm,12m
ナメラハゼ,Callogobius okinawae,琉球列島;中・西部太平洋,内湾の湾奥、サンゴ礁域の礁池・礁原。ビーチロックのタイドプールや岸寄りの砂底の死サンゴ片・死サンゴ塊の下。生息水深1.5m以浅,8cm,0.5m
ズングリハゼ,Callogobius flavobrunneus,奄美大島、沖縄諸島、八重山諸島;西インド洋,サンゴ礁域の礁池・礁湖・礁原・礁斜面。砂底の死サンゴ片や死サンゴ塊の下。生息水深3〜10m,5cm,4m
タネハゼ,"Callogobius tanegasimae (Snyder, 1908)",静岡県、三重県、和歌山県、高知県、宮崎県、鹿児島県～与那国島、五島列島；台湾、フィリピン,河川の河口付近の海岸から感潮域最上流。泥底や砂泥底の死サンゴ塊の隙間や下、マングローブの気根の隙間。生息水深1.5m以浅,12cm,1m
シュンカンハゼ,"Callogobius shunkanensis Koumans, 1953",伊豆諸島、相模湾、伊豆半島、和歌山県、愛媛県宇和海、高知県、鹿児島県、琉球列島；インド・太平洋,サンゴ礁域の礁池、岩礁域。砂底にある転石の間や下、岩と砂底の境にある隙間に単独で生息。生息水深3-15m,10cm,9m
フタスジハゼ,"Callogobius sclateri (Steindachner, 1879)",小笠原諸島、高知県柏島、琉球列島；インド・太平洋,サンゴ礁域の礁池、礁湖、礁原、礁斜面。砂底の死サンゴ片や死サンゴ塊の下に単独で生息。生息水深3-10m,5cm,6m
クロイトハゼ,"Valenciennea helsdingenii (Bleeker, 1858)",伊豆大島、神奈川県、静岡県、紀伊半島、徳島県、愛媛県、高知県、沖縄諸島、西表島；インド・太平洋,内湾、サンゴ礁域の礁斜面。成魚はサンゴ礫混じりの砂底。生息水深3-35m,25cm,20m
サザナミハゼ,"Valenciennea longipinnis (Lay et Bennett, 1839)",伊豆半島、琉球列島；インド・西太平洋,河川の河口、内湾の湾奥、サンゴ礁域の礁池・礁原。死サンゴ片混じりの砂泥底や砂底。生息水深0.3-10m,25cm,3m
ミズタマハゼ,"Valenciennea sexguttata (Valenciennes, 1837)",慶良間諸島、八重山諸島；インド・太平洋,内湾の湾奥、サンゴ礁域の礁原。まれに河川の河口。死サンゴ片混じりの砂泥底や砂底。生息水深1-8m,25cm,4m
オトメハゼ,Valenciennea puellaris,小笠原諸島、相模湾、伊豆半島、紀伊半島、高知県、愛媛県、琉球列島；インド・太平洋,河川の河口、内湾、サンゴ礁域の礁池・礁湖・礁原。死サンゴ片混じりの砂泥底や砂底。水深1-35m,20cm,15m
アカネハゼ,Valenciennea bella,沖縄諸島、石垣島、西表島；フィリピン,内湾の湾口から中程、サンゴ礁域の礁斜面。やや深所の砂混じりのガレ場や砂礫底。水深20-40m,12cm,30m
ヒメクロイトハゼ,"Valenciennea parva Hoese et Larson, 1994",高知県、奄美大島、慶良間諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁原・礁斜面の砂泥底や砂底。生息水深2-25m,7cm,6m
アカハチハゼ,"Valenciennea strigata (Broussonet, 1782)",小笠原諸島、八丈島、相模湾、伊豆半島、和歌山県、高知県、種子島、屋久島、琉球列島；インド・太平洋,内湾の湾口、サンゴ礁域の礁外縁・礁斜面の死サンゴ片混じりの砂底やガレ場。生息水深3-20m,20cm,10m
アカハチハゼ,Zalembius rosaceus,伊豆大島、相模湾、静岡県、紀伊半島、高知県、奄美大島、沖縄諸島、西表島；インド・西太平洋,内湾の湾内に生息。砂泥底や砂底に見られる。生息水深は6-20m。,18cm,12m
アオイトハゼ,"Valenciennea caledonicus Hoese et Larson, 1994",琉球列島；西部太平洋,内湾の中程から湾奥、サンゴ礁域の礁斜面に生息する。死サンゴ片混じりの砂泥底、砂泥混じりのガレ場に見られる。生息水深は25-55m。,16cm,32m
イレズミハゼ,"Priolepis semidoliata (Valenciennes, 1837)",小笠原諸島、八丈島、紀伊半島、種子島、屋久島、琉球列島；インド・太平洋,河川の河口周辺、内湾の湾奥、サンゴ礁域の礁池・礁原。砂底や藻場の死サンゴ塊下、タイドプールの穴に単独かペアで見られる。生息水深2m以浅,3cm,15m
フトスジイレズミハゼ,"Priolepis palliditaenia Winterbottom et Burridge, 1993",小笠原諸島、伊豆諸島、相模湾、駿河湾、紀伊半島、徳之島、奄美大島、沖縄島；台湾,イレズミハゼとほぼ同様な環境に生息する。生息水深3〜13m,3cm,6m
ミサキスジハゼ,"Priolepis bourbonensis (Snyder, 1909)",青森県の太平洋・日本海側〜九州、瀬戸内海；朝鮮半島、台湾,岩礁域の岩の割れ目や穴などに単独で見られる。生息水深10〜23m,4cm,9m
ベンケイハゼ,"Priolepis cincta (Regan, 1908)",小笠原諸島、伊豆諸島、千葉県、相模湾、静岡県〜西表島、瀬戸内海；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁原・礁斜面。サンゴの根の亀裂や岩穴の天井面に単独かペアで見られる。生息水深3〜30m,5cm,20m
コクテンベンタイハゼ,Priolepis sp. A,小笠原諸島、千葉県、伊豆諸島、相模湾、伊豆半島、紀伊半島、愛媛県宇和海、高知県柏島、鹿児島県、沖縄諸島、伊江島,岩礁域の岩穴や亀裂内、単独で生息。水深20-40m,6cm,27m
アミメベンケイハゼ,"Priolepis naraharae (Smith, 1949)",伊豆諸島八丈島、高知県柏島、琉球列島；インド・太平洋,内湾、サンゴ礁域の礁原。砂底の死サンゴ片や死サンゴ塊の裏面、単独かペアで生息。水深5m,4cm,8m
シマインゼ,Eviota sp. A,屋久島、トカラ列島、奄美大島、喜界島、徳之島、久米島、宮古島、石垣島、西表島,サンゴ礁域の礁池、礁外縁、岩礁性海岸。岩礁や洞窟にある窪みに主に単独で生息。生息水深3-10m。,2.5cm,10m
イチモンジハゼ,"Trimma grammistes (Tomiyama, 1936)",伊豆諸島、千葉県～鹿児島県、山形県、佐渡島、石川県、隠岐諸島、済州島、台湾,岩礁域の岩表面、単独で生息。生息水深は20m以深,3.5cm,25m
オオメハゼ,"Trimma macrophthalma (Tomiyama, 1936)",八丈島、伊豆半島、相模湾、紀伊半島、高知県柏島、口之永良部島、沖縄諸島、西表島、インド・太平洋,内湾・サンゴ礁域のドロップオフ、サンゴの根の窪みの天井面・崖壁の亀裂内に単独で生息。生息水深は3～20m,2.5cm,6m
ニンギョウベニハゼ,"Trimma sheppardi Winterbottom, 1984",奄美大島、沖縄諸島伊江島、石垣島、西表島；インド洋,内湾、サンゴ礁域のドロップオフ。サンゴの根の窪みの天井面、崖壁の亀裂内に単独で生息。生息水深10-55m,2.5cm,30m
アオギハゼ,"Trimma caudomaculatum Yoshino et Araga, 1975",八丈島、紀伊半島、高知県、琉球列島；台湾,内湾、サンゴ礁域の礁斜面、ドロップオフ。サンゴの根の下、崖壁の洞窟入り口や亀裂下で群がりホバリング。生息水深6-55m,4cm,10m
チゴベニハゼ,"Trimma naudei Smith, 1957",紀伊半島、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面、ドロップオフ。サンゴの根の壁面や下、崖壁の亀裂内に単独で生息。生息水深3-20m,3.5cm,6m
ベニハゼ,"Trimma caesiura Jordan et Seale, 1906",八丈島、紀伊半島、琉球列島、中・西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面、ドロップオフ。サンゴの根の壁面や下、崖壁の亀裂内に単独で見られる。生息水深3-20m,3.5cm,8m
ウロコベニハゼ,"Trimma emeryi (Goren, 1978)",小笠原諸島、奄美大島、沖縄諸島、西表島、インド・西太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面。主にガレ場の死サンゴ片の裏に単独または複数で見られる。崖壁の亀裂内でも見られる。生息水深10-35m,2.5cm,15m
オヨギベニハゼ,"Trimma nasa'yamai Lobel, 1979",八丈島、伊豆半島、紀伊半島、沖縄諸島、宮古島、西表島、インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面、ドロップオフ。サンゴの根の下、崖壁の洞窟入り口や亀裂下で群がりホバリングを行う。生息水深6-55m,2.5cm,30m
オキナワベニハゼ,"Trimma okinawae (Aoyagi, 1949)",小笠原諸島、八丈島、相模湾～鹿児島県、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面、ドロップオフ。サンゴの根の壁面、崖壁の亀裂内に単独で見られる。生息水深3-55m,3.5cm,10m
カスリモヨウベニハゼ,"Trimma grammistes Winterbottom, 1984",奄美諸島、西表島；インド・西太平洋,内湾の中程から湾奥、サンゴ礁域の礁斜面。内湾のユビエダハマサンゴの周辺に多く、群がりで遊泳する。生息水深5-35m,2.5cm,10m
シボリイソハゼ,Eviota sp. A,奄美大島、西表島,内湾の湾奥、サンゴの根の窪みの天井面、ガレ場の死サンゴ片や死サンゴ塊の隙間や裏面に単独で生息。生息水深5-20m,3cm,5m
トラノコイソハゼ,"Eviota lachdebris Karnena et Lachner, 1981",八丈島、沖縄諸島、石垣島、西表島；中・西部太平洋,内湾の湾口、岩礁性海岸、サンゴ礁域の礁外縁。波当たりや潮通しの良い場所。生息水深3-8m,2.5cm,6m
アカイソハゼ,Eviota sp. B,小笠原諸島、伊豆大島、相模湾～鹿児島県、沖縄諸島,外洋に面した岩礁域。岩の隙間や転石の下。生息水深5-15m,4cm,14m
イソハゼ,"Eviota abax (Jordan et Snyder, 1901)",小笠原諸島、伊豆諸島、青森県の太平洋側・日本海側～琉球列島、瀬戸内海；朝鮮半島,岩礁性海岸の潮間帯のタイドプール。岩の隙間や転石の下。生息水深15m以浅,4cm,1m
ホシヒレイソハゼ,"Eviota queenslandica Whitley, 1932",相模湾、琉球列島；インド・西太平洋,内湾。ガレ場、死サンゴ片や死サンゴ塊混じりの砂礫底。生息水深3-6m,3cm,6m
コメツブイソハゼ,Eviota sp. C,奄美大島、八重山諸島,内湾のガレ場の死サンゴ片や死サンゴ塊の隙間、生息水深3-6m,2cm,4m
コビトイソハゼ,"Eviota bikiniensis Jordan et Seale, 1906",小笠原諸島、加計呂間島、沖縄諸島、八重山諸島；インド・太平洋,内湾・サンゴ礁域の礁池の死サンゴ塊の隙間、生息水深約6m,3cm,2m
マメイソハゼ,"Eviota herrei Jordan et Seale, 1906",慶良間諸島、八重山諸島；中・西部太平洋,内湾・サンゴ礁域の礁池や礁湖の死サンゴ塊の隙間、生息水深約14m,2.5cm,14m
ミツボシイソハゼ,"Eviota prasites Jewett et Lachner, 1983",沖縄諸島、八重山諸島；中・西部太平洋,内湾の湾口から中程・サンゴ礁域の礁斜面のガレ場、生息水深3-10m,2.5cm,8m
ミナミイソハゼ,"Eviota japonica Jewett et Lachner, 1983",日本固有: 紀伊半島、高知県、種子島、琉球列島,河川の河口域、内湾の湾奥、サンゴ礁域の礁原。死サンゴ片混じりの砂底やガレ場。生息水深1-3m,2.5cm,2m
ナンヨウミドリハゼ,"Eviota prasina (Klunzinger, 1871)",小笠原諸島、八丈島、伊豆半島、和歌山県、徳島県、高知県、種子島、琉球列島; インド・太平洋,内湾、サンゴ礁域の礁池。タイドプール、ガレ場の死サンゴ片や死サンゴ塊の隙間。生息水深6m以浅,3.5cm,0.3m
クロホシイソハゼ,"Eviota smaragdus Jordan et Seale, 1906",小笠原諸島、相模湾、琉球列島; 中・西部太平洋,岩礁性海岸。潮間帯上部のタイドプール。生息水深0.2-0.5m,3cm,0.3m
アカホシイソハゼ,"Eviota melasma Lachner et Karnena, 1980",伊豆半島、高知県、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁外縁、礁斜面。サンゴの根の上に単独で見られる。,2.5cm,3-15m
シロイソハゼ,"Eviota albolineata Jewett et Lachner, 1983",小笠原諸島、伊豆諸島、相模湾、伊豆半島、紀伊半島、高知県、鹿児島県、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁、礁斜面。サンゴの根の上に単独で見られる。,3cm,3-15m
クロスジイソハゼ,"Eviota sociola Jordan et Seale, 1906",小笠原諸島、伊豆半島、紀伊半島、日永良部島、奄美大島、沖縄諸島、宮古島、石垣島、西表島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面。葉状や被覆状のコモンサンゴ類の上に単独で見られる。,3cm,5-30m
ニセクロスジイソハゼ,"Eviota ocellifer Jewett et Lachner, 1983",奄美大島、沖縄諸島、西表島、中・西部太平洋,内湾の湾口から中程、サンゴ礁域の礁斜面、ガレ場。生息水深5-20m,2.5cm,6m
ハナグロイソハゼ,Eviota sp. D,小笠原諸島、高知県、奄美大島、沖縄諸島、石垣島、西表島,内湾の湾口から湾奥、サンゴ礁域の礁原・礁斜面、サンゴの根周辺、ガレ場、死サンゴ片や死サンゴ塊混じりの砂礫底。生息水深1-15m,2.5cm,5m
アオイソハゼ,"Eviota prasites Jordan et Seale, 1906",小笠原諸島、紀伊半島、徳島県、愛媛県宇和海、高知県柏島、琉球列島、中・西部太平洋,内湾の湾口から湾奥、サンゴ礁域の礁斜面、サンゴの根周辺やガレ場。生息水深5-20m,3cm,8m
スミツキイソハゼ,"Eviota infraspinata (Smith, 1957)",沖縄諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。死んで苔などがついたサンゴの上やガレ場に単独で生息。水深3-15m,2.5cm,6m
オビイソハゼ,"Eviota latifasciata Jewett et Lachner, 1983",小笠原諸島、八丈島、伊豆半島、沖縄諸島、久米島、西表島；インド・太平洋,内湾の湾口、サンゴ礁域の礁外縁・礁斜面。波当たりや潮通しの良いところに単独で生息。水深3-10m,2cm,5m
キンホシイソハゼ,"Eviota storthynx (Rosen, 1959)",小笠原諸島、徳島県、愛媛県宇和海、高知県柏島、鹿児島県、琉球列島；インド・太平洋,内湾の湾奥。岩礁・転石上・サンゴの根上・死サンゴ塊混じりのガレ場に単独で生息。水深3-20m,3cm,20m
シロオビイソハゼ,Eviota pellucida,屋久島、久米島、西表島；中・西部太平洋,内湾のサンゴの根の窪み。単独で見られ、底生だがホバリングもする。生息水深6-30m,2.5cm,30m
オヨギイソハゼ,Eviota kasora,奄美大島、慶良間諸島、宮古島、八重山諸島；インド・西太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ガレ場や枝状・テーブル状サンゴ周囲に群れで遊泳。生息水深3-30m,3cm,8m
ソメワケイソハゼ,Eviota nigriventris,琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。ガレ場や枝状・テーブル状サンゴ周囲に小群れまたは単独で遊泳。生息水深3-30m,2.5cm,10m
フタボシイソハゼ,"Eviota lachdeberei Giltay, 1933",奄美大島、慶良間諸島、八重山諸島；インド・太平洋,内湾の中程から湾奥、密集した枝状サンゴの中や周囲、生息水深3-20m,2.5cm,6m
アカネグルマハゼ,"Paragobiodon lacunicolus (Bleeker, 1852)",琉球列島;インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面。トゲサンゴ属の枝間にペアまたは数尾で見られる。生息水深3-20m,2.5cm,4-8m
クログルマハゼ,"Paragobiodon melanosoma (Bleeker, 1852)",琉球列島;インド・太平洋,サンゴ礁域の礁池・礁湖・礁斜面。トゲサンゴ属の枝間に単独かペアで見られる。生息水深15-30m,2.5cm,14m
パンダダルマハゼ,"Paragobiodon lacunicolus (Kendall et Goldsborough, 1911)",小笠原諸島、紀伊半島、高知県、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間にペアで見られる。生息水深1-10m,2.5cm,4m
カサイダルマハゼ,Paragobiodon sp.,沖縄諸島、宮古島、八重山諸島,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間にペアで見られる。生息水深2-15m,2.5cm,6m
ダルマハゼ,"Paragobiodon echinocephalus (Rüppell, 1830)",紀伊半島、高知県、琉球列島；インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ショウガサンゴの枝間に単独かペアで見られる。生息水深3-30m,2.5cm,12m
ヨゴレグルマハゼ,Paragobiodon sp.,小笠原諸島、高知県、琉球列島；インド・太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ハナヤサイサンゴ属の枝間、生息水深2-15m,2.5cm,8m
ミジンベニハゼ,"Eviota sigillata Tanaka, 1915",千葉県館山湾～駿河湾、紀伊半島串本、高知県柏島、鹿児島県、大阪湾、愛媛県、兵庫県日本海側、壱岐水道～天草灘,内湾の砂泥底、フジツボ類の空殻・空き瓶・空き缶・二枚貝の殻の内、生息水深約12-25m,3cm,20m
ナカモトイロワケハゼ,"Lubricogobius exiguus Randall & Senou, 2001",沖縄島、石垣島；パプアニューギニア,サンゴ礁域のドロップオフ下、砂底の空貝・小石・空ビンの中、生息水深35m以深,2.5cm,51m
イレズミミジンベニハゼ,"Lubricogobius ornatus Fourmanoir, 1966",和歌山県、奄美大島、沖縄諸島；インド・西太平洋,内湾の砂底の空き瓶・空き缶の内、生息水深約20m,3.5cm,21m
コバンハゼ,Gobiodon sp. A,小笠原諸島、和歌山県、高知県、琉球列島、台湾,内湾の湾口から中程、サンゴ礁域の礁原、ミドリイシ属の枝状サンゴの枝間や枝先,5cm,3-6m
イチモンジコバンハゼ,"Gobiodon albofasciatus Sawada et Arai, 1972",奄美大島、慶良間諸島、宮古島、八重山諸島、インド・西太平洋,内湾の湾奥、ミドリイシ属のテーブル状または枝状サンゴやユビエダハマサンゴの枝間,3.5cm,2-6m
キイロサンゴハゼ,"Gobiodon okinawae Sawada, Arai et Abe, 1972",和歌山県、高知県、琉球列島、インド・太平洋,内湾の中程から湾奥、サンゴ礁域の礁池・礁湖・礁斜面、ミドリイシ属のテーブル状または枝状サンゴの枝間や枝先,3.5cm,2-15m
ムジコバンハゼ,"Gobiodon citrinus (Castelnau, 1873)",紀伊半島、琉球列島；インド・西太平洋,サンゴ礁域の礁外縁や礁斜面、テーブル状サンゴの枝間,3.5cm,6m
セアカコバンハゼ,"Gobiodon erythrospilus Garman, 1903",小笠原諸島、紀伊半島、高知県柏島、屋久島、慶良間諸島、西表島；中・西部太平洋,サンゴ礁域の礁外縁、波当たりの強いところのミドリイシ属テーブル状サンゴの枝間,3.5cm,3m
アイコバンハゼ,"Gobiodon rivulatus (Günther, 1861)",紀伊半島、高知県柏島、種子島、琉球列島；インド・西太平洋,サンゴ礁域の礁外縁、波当たりの強いところのミドリイシ属テーブル状サンゴの枝間,3.5cm,3m
アカテンコバンハゼ,Gobiodon sp. B,高知県、屋久島、奄美諸島、沖縄諸島、八重山諸島；西部太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,4cm,5m
タスジコバンハゼ,Gobiodon sp. C,小笠原諸島、紀伊半島、奄美大島、沖縄諸島、西表島、西部太平洋,内湾の湾口から中程、サンゴ礁域の礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,3cm,6m
フタイロサンゴハゼ,"Gobiodon quinquestrigatus (Valenciennes, 1837)",小笠原諸島、八丈島、和歌山県、高知県柏島、屋久島、種子島、琉球列島、インド・太平洋,内湾の湾口から湾奥、サンゴ礁域の礁池・礁湖・礁外縁・礁斜面、ミドリイシ属テーブル状サンゴの枝間,3.5cm,14m
ヒトスジコバンハゼ,Gobiodon sp. D,紀伊半島、高知県、沖縄島、八重山諸島,サンゴ礁域の礁外縁、潮通しの良い場所、ミドリイシ科テーブル状サンゴの枝間,3cm,8m
イレズミコバンハゼ,Gobiodon sp. E,紀伊半島、奄美大島、沖縄諸島、西表島,内湾の湾口から中程、サンゴ礁域の礁外縁、礁斜面、テーブル状サンゴの枝間,2.5cm,8m
