和名,学名,分布,生息場所,深さ,体長,短い説明,長い説明,生息場所,短い説明,長い説明
オオベニシボリ,Bullina nobilis,日本、フィリピン,サンゴ礁域、岩礁の岩穴,10~20mm,,鮮やかな赤色の体に白色の細い線模様が特徴。岩の表面をゆっくり這う姿が観察できる。,オオベニシボリはその名の通り、鮮やかな赤色の体と白色の細い線模様が美しいウミウシです。体長は10~20mm程度と小型で、岩礁やサンゴ礁の岩穴や表面をゆっくり這う姿が観察できます。ダイビング中に見つけるには、岩の表面や隙間を注意深く探すと良いでしょう。撮影の際は、赤色の発色を引き出すためストロボを使うとより美しく写ります。このウミウシは主に苔虫類を食べることが知られており、その生態も興味深いポイントです。鮮やかな体色は警告色としての役割もあり、捕食者に対して毒があることを示していると考えられています。,サンゴ礁域、岩礁の岩穴,鮮やかな赤色の体に白色の細い線模様が特徴。岩の表面をゆっくり這う姿が観察できる。,オオベニシボリはその名の通り、鮮やかな赤色の体と白色の細い線模様が美しいウミウシです。体長は10~20mm程度と小型で、岩礁やサンゴ礁の岩穴や表面をゆっくり這う姿が観察できます。ダイビング中に見つけるには、岩の表面や隙間を注意深く探すと良いでしょう。撮影の際は、赤色の発色を引き出すためストロボを使うとより美しく写ります。このウミウシは主に苔虫類を食べることが知られており、その生態も興味深いポイントです。鮮やかな体色は警告色としての役割もあり、捕食者に対して毒があることを示していると考えられています。
クロスジシボリ,Bullina vitrea,西太平洋,岩礁の岩穴、転石帯,10~25mm,,白い半透明の体に赤やピンクの線が入るウミウシ。岩の表面や転石の陰に見られ、ゆっくり移動する姿が可愛らしい。,クロスジシボリは白い半透明の体に鮮やかな赤やピンクの線が特徴で、特に背面に入る縦線が目立ちます。体長は10~25mmと小型で、岩礁の岩穴や転石帯の陰に見られます。ゆっくりと這うように移動し、岩の表面を探索する姿は観察しやすいです。撮影時は白い体が露出過多になりやすいため、ストロボの光量調整がポイント。このウミウシは肉食性で、小さな貝類や他のウミウシの卵を食べることが知られており、餌を探して移動する様子も観察できます。,岩礁の岩穴、転石帯,白い半透明の体に赤やピンクの線が入るウミウシ。岩の表面や転石の陰に見られ、ゆっくり移動する姿が可愛らしい。,クロスジシボリは白い半透明の体に鮮やかな赤やピンクの線が特徴で、特に背面に入る縦線が目立ちます。体長は10~25mmと小型で、岩礁の岩穴や転石帯の陰に見られます。ゆっくりと這うように移動し、岩の表面を探索する姿は観察しやすいです。撮影時は白い体が露出過多になりやすいため、ストロボの光量調整がポイント。このウミウシは肉食性で、小さな貝類や他のウミウシの卵を食べることが知られており、餌を探して移動する様子も観察できます。
バライロシボリ,Bullina sp.,日本、フィリピン,サンゴ礁域、岩礁の岩穴,7~8mm,,ピンク色の美しい体に白い斑点が散りばめられ、岩陰でじっとしていることが多い。ウミウシの中でも特に色彩が鮮やかな種類。,バライロシボリはピンク色の体に白い斑点が散りばめられた、非常に美しいウミウシです。体長は小さく約7~8mmで、岩礁の岩穴やサンゴ礁の陰に隠れていることが多いです。水中で出会うと、その鮮やかな色彩に目を奪われること間違いなし。動きはゆっくりで、岩の表面を這っている姿が観察できます。撮影の際はマクロレンズがおすすめで、色合いを引き立たせるためにストロボの光を柔らかく調整すると良いでしょう。このウミウシは捕食時に特徴的な行動を見せ、主に小さな生物を食べるため、観察する際はじっくりと時間をかけてみましょう。,サンゴ礁域、岩礁の岩穴,ピンク色の美しい体に白い斑点が散りばめられ、岩陰でじっとしていることが多い。ウミウシの中でも特に色彩が鮮やかな種類。,バライロシボリはピンク色の体に白い斑点が散りばめられた、非常に美しいウミウシです。体長は小さく約7~8mmで、岩礁の岩穴やサンゴ礁の陰に隠れていることが多いです。水中で出会うと、その鮮やかな色彩に目を奪われること間違いなし。動きはゆっくりで、岩の表面を這っている姿が観察できます。撮影の際はマクロレンズがおすすめで、色合いを引き立たせるためにストロボの光を柔らかく調整すると良いでしょう。このウミウシは捕食時に特徴的な行動を見せ、主に小さな生物を食べるため、観察する際はじっくりと時間をかけてみましょう。
ヤカタガイ,Hydatina albocincta,インド-西太平洋,砂泥底,18~50mm,,白地に黒の縞模様が美しいウミウシ。砂地に半埋もれていることが多く、ゆっくり移動する姿が観察できる。,ヤカタガイは白い体に黒い輪状の模様が特徴的で、まるで着物の帯のように見える美しいウミウシです。体長約18~50mmと小型で、砂泥底に半埋もれた状態で見つかることが多く、ゆっくりと這うように移動します。観察の際は、砂地の微妙な隆起や動きに注目すると発見しやすいでしょう。撮影時は砂を巻き上げないよう注意し、横からアプローチするのがおすすめです。この種は貝殻を持つ巻貝の仲間で、驚くと完全に砂の中に潜ってしまうこともあります。夜行性の傾向があり、昼間はあまり活動的ではありませんが、その独特な模様は水中写真の被写体として人気があります。,砂泥底,白地に黒の縞模様が美しいウミウシ。砂地に半埋もれていることが多く、ゆっくり移動する姿が観察できる。,ヤカタガイは白い体に黒い輪状の模様が特徴的で、まるで着物の帯のように見える美しいウミウシです。体長約18~50mmと小型で、砂泥底に半埋もれた状態で見つかることが多く、ゆっくりと這うように移動します。観察の際は、砂地の微妙な隆起や動きに注目すると発見しやすいでしょう。撮影時は砂を巻き上げないよう注意し、横からアプローチするのがおすすめです。この種は貝殻を持つ巻貝の仲間で、驚くと完全に砂の中に潜ってしまうこともあります。夜行性の傾向があり、昼間はあまり活動的ではありませんが、その独特な模様は水中写真の被写体として人気があります。
ヒメヤカタガイ,Hydatina zonata,インド-西太平洋,砂泥底,20~25mm,,透明感のある白い体に黒と赤の縞模様が美しく、砂地をゆっくり這う姿が印象的。貝殻を持たないウミウシで、風船のような体型が特徴。,ヒメヤカタガイは透明感のある白い体に黒と赤の鮮やかな縞模様が特徴で、砂地をゆっくり這う姿が観察できます。風船のように膨らんだ体型と貝殻を持たないことが特徴で、体長は20〜25mmほどと小型です。主に砂泥底に生息し、夜行性のため日中は動きが緩やかで撮影しやすいです。見つけるコツは、砂地の小さな凹凸やゴミの近くを注意深く探すこと。面白いことに、危険を感じると体を縮める習性があり、その愛らしい動きがダイバーに人気です。,砂泥底,透明感のある白い体に黒と赤の縞模様が美しく、砂地をゆっくり這う姿が印象的。貝殻を持たないウミウシで、風船のような体型が特徴。,ヒメヤカタガイは透明感のある白い体に黒と赤の鮮やかな縞模様が特徴で、砂地をゆっくり這う姿が観察できます。風船のように膨らんだ体型と貝殻を持たないことが特徴で、体長は20〜25mmほどと小型です。主に砂泥底に生息し、夜行性のため日中は動きが緩やかで撮影しやすいです。見つけるコツは、砂地の小さな凹凸やゴミの近くを注意深く探すこと。面白いことに、危険を感じると体を縮める習性があり、その愛らしい動きがダイバーに人気です。
スジヒメヤカタ,Hydatina velum,インド-西太平洋,砂泥底,34~30mm,,薄紫色の半透明な体に黒い線模様が特徴。砂地をゆっくり移動し、貝殻を背負う姿が可愛らしい。,薄紫色の半透明な体に黒い線模様が入り、まるでガラス細工のような美しいウミウシです。体長は30mm程度と小型で、砂地をゆっくりと這い回る姿が観察できます。特に特徴的なのは、後方に伸びた薄い外套膜で、波打たせながら移動する様子が優雅です。ダイビングでは、砂地の浅い部分を注意深く探すと見つけやすく、接近しても逃げないため撮影に最適。面白いことに、この種は貝殻を背負わない裸のウミウシで、その透明感のある体は光に当たると宝石のように輝きます。,砂泥底,薄紫色の半透明な体に黒い線模様が特徴。砂地をゆっくり移動し、貝殻を背負う姿が可愛らしい。,薄紫色の半透明な体に黒い線模様が入り、まるでガラス細工のような美しいウミウシです。体長は30mm程度と小型で、砂地をゆっくりと這い回る姿が観察できます。特に特徴的なのは、後方に伸びた薄い外套膜で、波打たせながら移動する様子が優雅です。ダイビングでは、砂地の浅い部分を注意深く探すと見つけやすく、接近しても逃げないため撮影に最適。面白いことに、この種は貝殻を背負わない裸のウミウシで、その透明感のある体は光に当たると宝石のように輝きます。
ミスガイ,Hydatina physis,世界の熱帯域,砂泥底,40~50mm,,透き通ったピンクや紫色の体に黒い輪模様が特徴のウミウシ。砂地をゆっくり這う姿が観察できる。,Hydatina physisは、透明感のあるピンクや紫色の体に黒い輪模様が特徴的なウミウシで、体長は40〜50mm程度です。砂泥底を好み、ゆっくりと這う姿が観察できます。水中で出会った時は、その繊細な体色と模様が目を引きます。撮影の際は、砂地を注意深く探し、ゆっくりと近づくのがコツです。この種は貝殻を持たないウミウシで、危険を感じると体を丸める習性があります。面白い生態として、夜行性で昼間は砂に潜っていることが多いですが、ダイビング中にも見つけることができます。,砂泥底,透き通ったピンクや紫色の体に黒い輪模様が特徴のウミウシ。砂地をゆっくり這う姿が観察できる。,Hydatina physisは、透明感のあるピンクや紫色の体に黒い輪模様が特徴的なウミウシで、体長は40〜50mm程度です。砂泥底を好み、ゆっくりと這う姿が観察できます。水中で出会った時は、その繊細な体色と模様が目を引きます。撮影の際は、砂地を注意深く探し、ゆっくりと近づくのがコツです。この種は貝殻を持たないウミウシで、危険を感じると体を丸める習性があります。面白い生態として、夜行性で昼間は砂に潜っていることが多いですが、ダイビング中にも見つけることができます。
ベニヤカタガイ,Aplustrum amplustre,インド-太平洋,砂泥底、藻場域,20~25mm,,鮮やかな赤色の体に白い斑点があり、砂地や藻場をゆっくり移動。特徴的な貝殻を背負っているのが目印。,ベニヤカタガイは鮮やかな赤色の体に白い斑点が散りばめられ、非常に目立つウミウシです。背中には薄く平らな貝殻を背負っており、これが和名の由来となっています。体長は約20〜25mmと小型で、砂泥底や藻場をゆっくりと移動する様子が観察できます。ダイビング中に見つけるには、砂地と藻場の境目を注意深く探すと良いでしょう。近づいても逃げることは少なく、動きがゆっくりなため撮影もしやすいです。面白い生態として、このウミウシは貝殻を保護用に使っており、危険を感じると貝殻の中に引きこもることがあります。鮮やかな体色は毒を持っていることを示す警告色の可能性があり、触らないように注意が必要です。,砂泥底、藻場域,鮮やかな赤色の体に白い斑点があり、砂地や藻場をゆっくり移動。特徴的な貝殻を背負っているのが目印。,ベニヤカタガイは鮮やかな赤色の体に白い斑点が散りばめられ、非常に目立つウミウシです。背中には薄く平らな貝殻を背負っており、これが和名の由来となっています。体長は約20〜25mmと小型で、砂泥底や藻場をゆっくりと移動する様子が観察できます。ダイビング中に見つけるには、砂地と藻場の境目を注意深く探すと良いでしょう。近づいても逃げることは少なく、動きがゆっくりなため撮影もしやすいです。面白い生態として、このウミウシは貝殻を保護用に使っており、危険を感じると貝殻の中に引きこもることがあります。鮮やかな体色は毒を持っていることを示す警告色の可能性があり、触らないように注意が必要です。
コンシボリガイ,Micromelo undatus,世界中の熱帯域,砂泥底、藻場域,8~10mm,,白地に赤や茶色の波状模様が美しい小型ウミウシ。砂地をゆっくり這う姿が観察できる。,白い体に赤褐色の特徴的な波状模様が入った美しいウミウシで、体長は最大でも10mm程度と非常に小さい。砂泥底や藻場をゆっくり這うように移動し、時には砂に潜ることもある。観察の際は、砂地の小さな凹凸や藻の根元を注意深く探すと見つけやすい。撮影時はマクロレンズが必須で、ゆっくり近づけば逃げることは少ない。面白い生態として、この種はイワモトウミウシ科に属し、有毒なヒドロ虫を食べてその毒を自身の防御に利用することが知られている。,砂泥底、藻場域,白地に赤や茶色の波状模様が美しい小型ウミウシ。砂地をゆっくり這う姿が観察できる。,白い体に赤褐色の特徴的な波状模様が入った美しいウミウシで、体長は最大でも10mm程度と非常に小さい。砂泥底や藻場をゆっくり這うように移動し、時には砂に潜ることもある。観察の際は、砂地の小さな凹凸や藻の根元を注意深く探すと見つけやすい。撮影時はマクロレンズが必須で、ゆっくり近づけば逃げることは少ない。面白い生態として、この種はイワモトウミウシ科に属し、有毒なヒドロ虫を食べてその毒を自身の防御に利用することが知られている。
マメウラシマガイ,Ringicula doliaris,西太平洋,砂泥底,4~5.5mm,,小さな白色の体に茶色の細かい模様があり、砂地に半埋もれていることが多い。非常に小さく見つけるのが難しいウミウシ。,マメウラシマガイは体長4〜5.5mmと極小サイズのウミウシで、白色の体に茶色の細かい模様が特徴です。砂泥底に半埋もれていることが多く、非常に見つけにくい存在です。ダイバーは砂地を注意深く観察し、小さな盛り上がりや動きに注目すると発見できるかもしれません。撮影時にはマクロレンズが必須で、そっと近づいて砂を吹き飛ばさないように注意が必要です。この種は夜行性の傾向があり、日中はほとんど動きませんが、稀に砂の上をゆっくり這う様子も観察できます。,砂泥底,小さな白色の体に茶色の細かい模様があり、砂地に半埋もれていることが多い。非常に小さく見つけるのが難しいウミウシ。,マメウラシマガイは体長4〜5.5mmと極小サイズのウミウシで、白色の体に茶色の細かい模様が特徴です。砂泥底に半埋もれていることが多く、非常に見つけにくい存在です。ダイバーは砂地を注意深く観察し、小さな盛り上がりや動きに注目すると発見できるかもしれません。撮影時にはマクロレンズが必須で、そっと近づいて砂を吹き飛ばさないように注意が必要です。この種は夜行性の傾向があり、日中はほとんど動きませんが、稀に砂の上をゆっくり這う様子も観察できます。
クロダマメウラシマ,Ringicula kurodai,西太平洋,砂泥底,2~2.6mm,,小さな黒い体に白い斑点があり、砂地に埋もれていることが多い。ウミウシの中でも特に小さく、注意深く観察が必要。,クロダマメウラシマは、黒い体に不規則な白い斑点が特徴で、体長が非常に小さい（約2-2.6mm）ため、砂泥底を注意深く探さないと見つけられません。砂地に埋もれていることが多く、動きもゆっくりです。観察のコツは、砂地の微細な凹凸や小さな動きに注目することです。撮影時はマクロレンズが必須で、ゆっくりと近づき、砂を巻き上げないように注意しましょう。このウミウシは驚くとすぐに砂に潜る習性があるため、慎重なアプローチが求められます。,砂泥底,小さな黒い体に白い斑点があり、砂地に埋もれていることが多い。ウミウシの中でも特に小さく、注意深く観察が必要。,クロダマメウラシマは、黒い体に不規則な白い斑点が特徴で、体長が非常に小さい（約2-2.6mm）ため、砂泥底を注意深く探さないと見つけられません。砂地に埋もれていることが多く、動きもゆっくりです。観察のコツは、砂地の微細な凹凸や小さな動きに注目することです。撮影時はマクロレンズが必須で、ゆっくりと近づき、砂を巻き上げないように注意しましょう。このウミウシは驚くとすぐに砂に潜る習性があるため、慎重なアプローチが求められます。
