和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
タナゴモドキ,"Hypseleotris cyprinoides (Valenciennes, 1837)",和歌山県、高知県、宮崎県、奄美大島、沖縄島、宮古島、石垣島、西表島；インド・太平洋,水田や湿地の溜池や溝、細流の緩流部、河川本流脇の池やワンド、河川中流域の淵、河川の堰堤下。流れが緩やかで岸付近に水生植物や倒木が多いところに群がりで中層を浮遊,8cm,0.5m,小さな体で銀灰色、水田や湿地の溜池で群れをなして浮遊している。,タナゴモドキは最大8cmほどの小さなハゼで、銀灰色の体色をしています。水田や湿地の溜池、河川のワンドなどで群れをなして中層を浮遊していることが多いです。和歌山県から西表島まで分布し、インド・太平洋にも広く生息しています。観察時は水生植物が多い場所を探すと見つけやすく、群れで泳ぐ姿は幻想的です。撮影時は群れの動きを予測してシャッターチャンスを待つのがコツです。
タメトモハゼ,Ophieleotris sp. A,種子島、屋久島、琉球列島；インド・西太平洋,河川本流脇の池やワンド、河川中流域の淵、渓流域下部の河岸、細流の緩流部。群がりで浮遊。河川渓流域にも見られる,35cm,0.5m,細長い体で銀灰色、河川のワンドや淵で群れをなして浮遊する。,タメトモハゼは細長い体で銀灰色をしており、河川のワンドや中流域の淵で群れをなして浮遊しています。最大35cmにもなる大型種で、種子島や琉球列島に分布しています。観察時は流れの緩やかな場所の水面近くを注意深く見渡すと見つけられます。インド・西太平洋に広く分布し、渓流域にも進入することがあります。群れで泳ぐ様子を広角レンズで撮影すると迫力のある写真が撮れます。
エリトゲハゼ,Bostrychus sinensis,西表島；西部太平洋,河川の渓流域、岩の陰,6cm,0.2m,小さな体に褐色の縞模様があり、河川の渓流域の岩の陰に隠れている。,エリトゲハゼは最大6cmほどの小さなハゼで、褐色の体に縞模様があります。西表島の河川渓流域で見られ、岩の陰に隠れていることが多いです。西部太平洋に分布し、観察時は渓流の岩の隙間を注意深く探す必要があります。体が小さいためマクロレンズでの撮影が適しており、自然な渓流環境を背景に入れると良いでしょう。他のハゼ類と比べて見つけるのが少し難しい種類です。
モンヤナギハゼ,Xenisthmus polyzonatus,慶良間諸島、奄美大島、石垣島、沖縄諸島；インド・太平洋,サンゴ礁域の礁池、死サンゴ片や砂底、死サンゴ塊下,2.5cm,7m,非常に小さく、サンゴ礁域の死サンゴ片や砂底で見られる。,モンヤナギハゼは最大2.5cmと非常に小さなハゼで、サンゴ礁域の礁池や死サンゴ片、砂底に生息しています。慶良間諸島や奄美大島、石垣島などで確認されており、インド・太平洋に広く分布します。観察時は死サンゴ塊をそっと動かしたり、砂底を注意深く見渡すと見つけられます。小さすぎるため見逃しやすいですが、マクロ撮影には最適な被写体です。
トカゲハゼ,Scartelaos histophorus,沖縄島中城湾；南・東南アジアを中心としたインド・西太平洋,内湾湾奥の軟泥干潟、底の穴、干潟上,8cm,,細長い体で干潟上を跳ね回る、沖縄島中城湾の軟泥干潟に生息。,トカゲハゼは細長い体で、沖縄島中城湾の軟泥干潟に生息しています。干潮時には干潟上を跳ね回る様子が観察でき、底に穴を掘って生活しています。最大8cmほどで、南・東南アジアを中心としたインド・西太平洋に広く分布しています。観察時は干潮時に干潟を静かに歩き回ると見つけられます。独特な動きをするため、動画撮影にも適した被写体です。
ムツゴロウ,"Boleophthalmus pectinirostris (Linnaeus, 1758)",有明海、八代海；渤海、黄海、東・南シナ海、台湾,河口に連なる広大な軟泥干潟。底に穴を掘り、干出時には干潟上で活動し、それ以外は生息孔中にすむ,20cm,,青緑色の体に青い斑点があり、有明海の軟泥干潟で穴を掘って生活する。,ムツゴロウは青緑色の体に青い斑点が特徴で、有明海や八代海の広大な軟泥干潟に生息しています。干潮時には干潟上で活動し、独特の求愛ダンスが見られることで有名です。最大20cmまで成長し、渤海や東シナ海にも分布しています。観察時は干潮時にじっと待っていると穴から出てくる様子が見られます。地域によって体色のバリエーションがあり、生態観察に最適な種類です。
トビハゼ,"Periophthalmus modestus Cantor, 1842",東京湾〜種子島、沖縄島、瀬戸内海、有明海；渤海、黄海、東・南シナ海、台湾,内湾の湾奥や河川の河口域の泥干潟。冬は底の穴ですごし、他の季節は干出時に干潟上で活動し、岸辺に這い上がり休息する,10cm,,褐色の体で目が突出しており、干潮時に干潟上をピョンピョン跳ねる。,トビハゼは褐色の体で目が大きく突出しているのが特徴で、干潮時に干潟上をピョンピョン跳ねる様子が観察できます。東京湾から種子島、沖縄島まで広く分布し、冬は底の穴で過ごします。最大10cmほどで、渤海や東シナ海にも生息しています。観察時は干潮時に岸辺を注意深く見渡すと見つけられ、ユニークな動きを写真や動画に収めることができます。
ミナミトビハゼ,"Periophthalmus argentilineatus Valenciennes, 1837",種子島、屋久島、琉球列島；インド・太平洋,河川の河口付近の海岸から感潮域最上流。とくに河口域の泥干潟や汽水性湿地に多く、干出時に泥面で活動し、それ以外は岸辺に這い上がり休息する,12cm,,灰褐色の体で、河口域の泥干潟で活動的にはね回る。,ミナミトビハゼは灰褐色の体で、種子島や琉球列島の河口域の泥干潟に生息しています。干潮時に活発にはね回り、それ以外の時間は岸辺に這い上がって休息します。最大12cmほどで、インド・太平洋に広く分布しています。観察時は干潮時の泥干潟を注意深く見渡すと見つけられ、他のトビハゼ類よりもやや南に分布が偏っています。動きが早いため、連写モードでの撮影がおすすめです。
ヨロイボウズハゼ,"Sicyopterus zahavati Sakai et Nakamura, 1979",日本固有: 種子島、屋久島、奄美大島、沖縄島、石垣島、西表島,河川の渓流域、淵頭付近の岩盤や転石上,6.5cm,0.2m,青緑色の体に赤い斑点があり、渓流の岩盤上を這うように移動する。,ヨロイボウズハゼは青緑色の体に赤い斑点が特徴で、種子島や琉球列島の渓流域の岩盤上を這うように移動します。日本固有種で、最大6.5cmほどの小型種です。淵頭付近の転石上で観察されることが多く、水流が強い環境を好みます。撮影時は岩の上でのユニークな移動方法に注目すると面白い写真が撮れます。地域によって体色のバリエーションがあるのも特徴です。
アカボウズハゼ,"Sicyopus zosterophorum (Bleeker, 1857)",種子島、屋久島、奄美大島、沖縄島、石垣島、西表島; 西部太平洋,河川の渓流域の淵、中層を遊泳,6cm,0.3m,赤みがかった体色で、渓流域の淵の中層を優雅に泳ぐ。,アカボウズハゼは赤みがかった美しい体色で、種子島や琉球列島の渓流域の淵の中層を優雅に泳ぎます。最大6cmほどの小型種で、西部太平洋に分布しています。観察時は淵の水流が緩やかな場所を重点的に探すと見つけられ、群れで泳ぐことが多いです。水中でひらひらと泳ぐ姿は非常にフォトジェニックで、マクロ撮影に最適な被写体です。地域によって体色の濃さが異なることもあります。
カエルハゼ,"Sicyopterus japonicus Sakai et Nakamura, 1979",屋久島、石垣島、西表島、与那国島；マリアナ諸島,河口近くに渓流域がある河川の渓流域。やや薄暗いところを好み、流れの緩やかな淵に単独で見られる,6cm,0.3m,茶褐色の体に不規則な斑点があり、流れの緩やかな淵で単独で見られる。岩陰に隠れる習性がある。,茶褐色の体に不規則な暗色斑点が散在する小型のハゼです。河口近くの渓流域で見られ、やや薄暗い場所を好みます。流れの緩やかな淵で単独で生活し、岩陰や転石の隙間に潜んでいることが多いです。観察時はゆっくり近づき、岩陰をチェックすると見つけやすいでしょう。体長6cmほどと小さいので、マクロレンズでの撮影がおすすめです。
ルリボウズハゼ,"Sicyopterus lagocephalus (Pallas, 1770)",小笠原諸島父島、種子島、屋久島、奄美大島、沖縄島、久米島、石垣島、西表島、与那国島；インド・西太平洋,河川の渓流域。流れの速いところを好み、淵尻や瀬頭の岩盤や転石上に群がりで見られる。小・中の滝であれば遡上する,13cm,0.5m,青みがかった体色が特徴で、流れの速い場所を好み群れで見られる。滝を遡上する習性がある。,背中が青みがかった美しい体色を持つ中型のハゼで、ルリボウズハゼの名の由来となっています。流れの速い渓流域を好み、淵尻や瀬頭の岩盤上に群れで見られます。小・中の滝であれば遡上する習性があり、観察時は水中で流れに逆らって泳ぐ姿が見られます。群れでいることが多いので、広角レンズで水流と共に撮影すると迫力ある写真が撮れます。体長は最大13cmほど。
ボウズハゼ,"Sicyopterus japonicus (Tanaka, 1909)",小笠原諸島、福島県・兵庫県日本海側～西表島；韓国、台湾,河川の渓流域。流れの速いところを好み、淵尻や瀬頭の岩盤や転石上に群がりで見られる。小・中の滝であれば遡上し、その上流にも見られる。,20cm,0.2〜0.5m,茶褐色の体で流れの速い場所に群れる大型ハゼ。滝を遡上し、上流にも生息する。,茶褐色の体で最大20cmにもなる大型のボウズハゼです。流れの速い渓流域を好み、淵尻や瀬頭の岩盤上に群れで生息しています。小・中の滝を遡上する能力があり、その上流でも観察可能です。観察時は流れの速い場所を重点的にチェックし、岩の上に群れている様子を見つけると良いでしょう。ダイナミックな水流と共に撮影すると、その生態をよく表現できます。
ナンヨウボウズハゼ,"Sicyopterus macrostetholepis Wilson et Chen, 1998",小笠原諸島、静岡県、高知県、宮崎県、鹿児島県、種子島、屋久島、琉球列島；台湾、グァム、パラオ,河川の中流域や渓流域。流れの緩やかなところを好み、淵や平瀬の転石上に見られ、中層を泳いで移動する。,5cm,0.2〜0.3m,青緑色の美しい体色で、流れの緩やかな場所の中層を泳ぐ小型ハゼ。,青緑色の美しい体色が特徴のナンヨウボウズハゼは、最大5cmほどの小型種です。流れの緩やかな淵や平瀬の転石上に見られ、中層を泳いで移動する習性があります。観察時は転石の周辺を泳ぐ個体を探すと良く、その鮮やかな体色は水中でよく目立ちます。マクロレンズで体表の細かい模様まで撮影すると、その美しさが引き立ちます。群れでいることも多く、カラフルな水中ショットが撮れるでしょう。
コンテリボウズハゼ,Stiphodon ornatus,種子島、屋久島、奄美大島、沖縄島、石垣島、西表島；台湾、マレーシア、フィリピン,河川の渓流域、流れの緩やかな淵や平瀬の転石上,6cm,0.3m,青色とオレンジのコントラストが美しい小型ハゼ。転石上で見られる。,青色とオレンジの鮮やかなコントラストが特徴のコンテリボウズハゼは、体長6cmほどの美しい小型種です。渓流域の流れが緩やかな淵や平瀬の転石上で観察できます。岩の上でじっとしていることが多く、ゆっくり近づけば比較的接近可能です。マクロレンズで体色のグラデーションを捉えると、その美しさが際立ちます。オスは繁殖期に特に鮮やかな色彩になるので、その時期の観察がおすすめです。
カキイロヒメボウズハゼ,"Stiphodon atropurpureus Watson et Kottelat, 1995",屋久島；フィリピン,河川の渓流域。流れの緩やかな淵の転石上,2.5cm,0.3m,紫色がかった体色の極小ハゼ。転石の隙間で見つかる。,紫色がかった独特の体色を持つカキイロヒメボウズハゼは、体長わずか2.5cmほどの極小種です。渓流域の流れが緩やかな淵の転石上やその隙間に生息しています。非常に小さいので見つけるのが難しく、転石をじっくり観察する必要があります。マクロレンズ必須の被写体で、水中ではその小ささと独特の色彩が神秘的です。屋久島とフィリピンにのみ分布する貴重な種です。
シラスキバハゼ,"Pariotogobius amplexicollis Iwata, Hosoya et Larson, 2001",沖縄島、西表島；タイ、オーストラリア北東海岸,内湾湾奥の軟泥底や泥底の穴,2.1cm,10m,白っぽい体の小型ハゼ。内湾の泥底の穴に潜む。,白っぽい体色のシラスキバハゼは、体長2.1cmほどの非常に小さなハゼです。内湾の湾奥の軟泥底や泥底に掘られた穴に生息しています。泥底の小さな穴を注意深く観察すると、顔を出している個体を見つけることができます。水深10mほどの場所に生息しており、マクロレンズでないと撮影が難しいでしょう。タイやオーストラリアにも分布する珍しい種です。
ミミズハゼ,"Luciogobius guttatus Gill, 1859",北海道の太平洋側・日本海側～屋久島、瀬戸内海沿岸、隠岐、壱岐、対馬、五島列島；朝鮮半島、渤海、黄海、東シナ海、台湾、沿海州,河川の汽水域から下流域、淡水の影響のある海岸の潮間帯。礫下や間に潜む。,8cm,0.5m,細長いミミズのような体型。汽水域の礫下に潜む。,細長いミミズのような体型が特徴のミミズハゼは、体長8cmほどで汽水域から下流域に生息しています。河川の汽水域や淡水の影響のある海岸の潮間帯で、礫の下や隙間に潜んでいます。観察時は礫を静かにひっくり返すと見つかることがありますが、素早く逃げるので注意が必要です。その独特の体型と生態は非常に興味深く、マクロ撮影の良い被写体となります。
オオミミズハゼ,"Luciogobius grandis Arai, 1970",青森県～高知県・長崎県、佐渡島、対馬；朝鮮半島,外海に面した岩礁性海岸や転石海岸の潮間帯。転石間に見られる。,11cm,0.5m,大型のミミズハゼで、外海の潮間帯の転石間に生息。,ミミズハゼの仲間では最大級で体長11cmにもなるオオミミズハゼは、外海に面した岩礁性海岸の潮間帯に生息しています。転石の間で見られ、その細長い体型で狭い隙間を好みます。観察時は潮が引いたタイドプールを重点的にチェックすると良いでしょう。大きいので比較的見つけやすいですが、警戒心が強くすぐに隠れてしまうので、そっと観察する必要があります。
ヒモハゼ,"Eutaeniichthys gilli Jordan et Snyder, 1901",青森県の太平洋・日本海側～九州、瀬戸内海沿岸、対馬、五島列島；朝鮮半島、渤海、黄海,河口や河口域の干潟、前浜干潟。砂底や砂泥底に掘られたアナジャコやカニ類の生息孔で見られる。,6cm,0.7m,糸のように細長い体型。干潟の甲殻類の巣穴に共生。,糸のように細長い体型が特徴のヒモハゼは、体長6cmほどで干潟の砂底や砂泥底に生息しています。アナジャコやカニ類の巣穴に共生しており、巣穴の入り口でひょっこり顔を出している様子が観察できます。干潮時に干潟を歩き回り、小さな穴を注意深く観察すると見つけることができます。そのユニークな生態と体型は、マクロ撮影の格好の被写体です。
キマダラハゼ,"Astrabe lactisella Akihito et Meguro, 1988",日本固有: 伊豆大島、相模湾、伊豆半島、鹿児島馬毛島、種子島,岩礁性海岸の潮間帯下部、粗めの砂礫上の転石間や下,5cm,4m,黄色と黒の縞模様が特徴。潮間帯下部の転石下に生息。,黄色と黒の縞模様が美しいキマダラハゼは、体長5cmほどの日本固有種です。岩礁性海岸の潮間帯下部に生息し、粗めの砂礫上の転石の間や下で見られます。観察時は潮が引いたタイドプールで転石を静かにひっくり返すと見つかることがあります。その鮮やかな体色は水中でよく目立ち、マクロ撮影に最適です。伊豆大島や種子島など限られた地域に分布しています。
シロクラハゼ,"Astrabe lactisella Jordan et Snyder, 1901",日本固有: 宮城県～三重県,岩礁性海岸の潮間帯下部、砂底に転石が積み重なったところの転石間や下,5cm,3m,白っぽい体に黒い斑点。転石の隙間で見られる。,白っぽい体に黒い斑点が散在するシロクラハゼは、体長5cmほどの日本固有種です。岩礁性海岸の潮間帯下部に生息し、砂底に積み重なった転石の間や下で見られます。観察時は転石を注意深くチェックし、その隙間をのぞき込むと見つけることができます。水深3mほどの浅い場所に生息しており、スノーケリングでも観察可能です。宮城県から三重県にかけて分布しています。
シモフリセジロハゼ,"Ctenogobius griseus Snyder, 1911",日本固有: 伊豆諸島、長崎県、種子島、屋久島,岩礁性海岸の潮間帯下部、粗めの砂礫上の転石間や下,5cm,3m,褐色の体に白い斑点。転石下に隠れる習性がある。,褐色の体に白い斑点が特徴のシモフリセジロハゼは、体長5cmほどの日本固有種です。岩礁性海岸の潮間帯下部に生息し、粗めの砂礫上の転石の間や下で見られます。転石下に隠れる習性があるので、観察時は転石を静かにひっくり返す必要があります。伊豆諸島や長崎県、種子島など限られた地域に分布しており、出会えるとラッキーな珍しい種です。
オキナワハゼ,"Callogobius hasseltii (Bleeker, 1851)",伊豆半島、徳島県、高知県柏島、鹿児島県、琉球列島; インド・太平洋,サンゴ礁域の礁池・礁湖・礁原・礁斜面、砂底の死サンゴ片や死サンゴ塊の下,4-7cm,12m,茶褐色の体に暗色の帯模様。サンゴ礁域の死サンゴ下に生息。,茶褐色の体に暗色の帯模様があるオキナワハゼは、体長4-7cmでサンゴ礁域に生息しています。砂底の死サンゴ片や死サンゴ塊の下に単独で潜んでおり、観察時は死サンゴを注意深くひっくり返すと見つかることがあります。水深12mほどの場所まで生息しており、警戒心が強いのでゆっくり近づくのがコツです。インド・太平洋に広く分布する種で、サンゴ礁ダイビングで出会える可能性が高いです。
ナメラハゼ,Callogobius okinawae,琉球列島;中・西部太平洋,内湾の湾奥、サンゴ礁域の礁池・礁原。ビーチロックのタイドプールや岸寄りの砂底の死サンゴ片・死サンゴ塊の下。生息水深1.5m以浅,8cm,0.5m,褐色の体に不規則な模様。ビーチロックの潮だまりで見られる。,褐色の体に不規則な模様があるナメラハゼは、体長8cmほどで琉球列島に分布します。内湾の湾奥やサンゴ礁域の礁池・礁原に生息し、ビーチロックのタイドプールや岸寄りの砂底の死サンゴ片下で見られます。水深1.5m以浅と浅い場所に生息しており、スノーケリングでも観察可能です。死サンゴ塊をそっと持ち上げると、その下に隠れている個体を見つけることができます。
ズングリハゼ,Callogobius flavobrunneus,奄美大島、沖縄諸島、八重山諸島;西インド洋,サンゴ礁域の礁池・礁湖・礁原・礁斜面。砂底の死サンゴ片や死サンゴ塊の下。生息水深3〜10m,5cm,4m,ずんぐりした体型が特徴。サンゴ礁の砂底に生息。,ずんぐりとした体型が特徴のズングリハゼは、体長5cmほどで奄美大島以南に分布します。サンゴ礁域の礁池・礁湖・礁原・礁斜面の砂底に生息し、死サンゴ片や死サンゴ塊の下に単独で潜んでいます。水深3〜10mの範囲で見られ、観察時は砂地にある死サンゴを注意深くチェックすると良いでしょう。西インド洋にも分布する面白い分布パターンを持っています。
タネハゼ,"Callogobius tanegasimae (Snyder, 1908)",静岡県、三重県、和歌山県、高知県、宮崎県、鹿児島県～与那国島、五島列島；台湾、フィリピン,河川の河口付近の海岸から感潮域最上流。泥底や砂泥底の死サンゴ塊の隙間や下、マングローブの気根の隙間。生息水深1.5m以浅,12cm,1m,大型のハゼで、河口域のマングローブ周辺に生息。,体長12cmにもなる大型のタネハゼは、河川の河口付近から感潮域最上流にかけて生息しています。泥底や砂泥底の死サンゴ塊の隙間や下、マングローブの気根の隙間などで見られます。水深1.5m以浅と浅い場所に生息しており、マングローブ域を探索すると出会える可能性が高いです。その大きさとユニークな生息環境から、生態観察の面白い対象となります。
シュンカンハゼ,"Callogobius shunkanensis Koumans, 1953",伊豆諸島、相模湾、伊豆半島、和歌山県、愛媛県宇和海、高知県、鹿児島県、琉球列島；インド・太平洋,サンゴ礁域の礁池、岩礁域。砂底にある転石の間や下、岩と砂底の境にある隙間に単独で生息。生息水深3-15m,10cm,9m,褐色の体に斑点模様。岩と砂底の境の隙間に生息。,褐色の体に斑点模様があるシュンカンハゼは、体長10cmほどでサンゴ礁域や岩礁域に生息しています。砂底にある転石の間や下、岩と砂底の境にある隙間に単独で潜んでいます。水深3-15mの範囲で見られ、岩と砂地の境界線を重点的に観察すると見つけやすいです。インド・太平洋に広く分布する種で、ダイバーにとって比較的観察しやすいハゼです。
フタスジハゼ,"Callogobius sclateri (Steindachner, 1879)",小笠原諸島、高知県柏島、琉球列島；インド・太平洋,サンゴ礁域の礁池、礁湖、礁原、礁斜面。砂底の死サンゴ片や死サンゴ塊の下に単独で生息。生息水深3-10m,5cm,6m,2本の暗色縦帯が特徴。サンゴ礁の砂底に単独で生息。,2本の暗色縦帯が特徴的なフタスジハゼは、体長5cmほどで小笠原諸島以南に分布します。サンゴ礁域の礁池・礁湖・礁原・礁斜面の砂底に生息し、死サンゴ片や死サンゴ塊の下に単独で潜んでいます。水深3-10mの範囲で見られ、その模様から他のハゼと容易に区別できます。インド・太平洋に広く分布する種で、サンゴ礁ダイビングでよく出会えるハゼの一つです。
クロイトハゼ,"Valenciennea helsdingenii (Bleeker, 1858)",伊豆大島、神奈川県、静岡県、紀伊半島、徳島県、愛媛県、高知県、沖縄諸島、西表島；インド・太平洋,内湾、サンゴ礁域の礁斜面。成魚はサンゴ礫混じりの砂底。生息水深3-35m,25cm,20m,大型で青白い体にオレンジの斑点。砂底でペアで見られる。,体長25cmにもなる大型のクロイトハゼは、青白い体にオレンジ色の斑点が特徴です。内湾やサンゴ礁域の礁斜面に生息し、サンゴ礫混じりの砂底でペアで見られることが多いです。水深3-35mと広範囲に生息しており、砂地をゆっくり泳ぐ姿が観察できます。インド・太平洋に広く分布する種で、その大きさと美しい色彩からダイバーに人気があります。
サザナミハゼ,"Valenciennea longipinnis (Lay et Bennett, 1839)",伊豆半島、琉球列島；インド・西太平洋,河川の河口、内湾の湾奥、サンゴ礁域の礁池・礁原。死サンゴ片混じりの砂泥底や砂底。生息水深0.3-10m,25cm,3m,長い背びれが特徴的なハゼで、砂泥底で巣穴を掘り、ペアで行動する姿が見られます。,サザナミハゼは、長く伸びた背びれがエレガントな印象を与えるハゼです。砂泥底でテッポウエビと共生し、ペアで巣穴の周りをホバリングします。体色は白地に青い斑点があり、砂地とのコントラストが美しいです。観察時はゆっくり近づき、巣穴から離れないように注意しましょう。マクロレンズで撮影すると、細かい模様まで捉えられます。
ミズタマハゼ,"Valenciennea sexguttata (Valenciennes, 1837)",慶良間諸島、八重山諸島；インド・太平洋,内湾の湾奥、サンゴ礁域の礁原。まれに河川の河口。死サンゴ片混じりの砂泥底や砂底。生息水深1-8m,25cm,4m,体に6つの明瞭な斑点があり、砂底で巣穴を守る姿が観察できます。,ミズタマハゼは、体側に6つの鮮明な青い斑点が並ぶのが特徴です。砂底や死サンゴ片が混じった場所でテッポウエビと共生し、巣穴の周りを活発に泳ぎ回ります。警戒心が強く、近づきすぎると素早く巣穴に隠れてしまいます。撮影の際は、少し離れて待つと再び姿を現すことが多いです。共生関係を観察できる貴重な種です。
