和名,学名,分布,生息場所,体長,深さ,短い説明,長い説明
ヤイトサラサエビ,Rhynchocinetes conicidens,房総半島以南、小笠原諸島、琉球列島,岩礁域,4.5cm,3m以深,赤い斑点が特徴で、岩穴や洞窟に群れで生息します。,ヤイトサラサエビは赤い斑点が特徴で、岩礁域の穴や洞窟に群れで生息します。体長は最大4.5cm程度で、岩陰でじっとしていることが多いです。特に暗がりを好むため、洞窟ダイビングで観察できる可能性が高いです。赤い斑点が光を反射して美しく輝くため、サイドライティングで撮影すると印象的な写真が撮れます。
アカモンサラサエビ,Cinetorhynchus erythrostictus,八丈島以南、琉球列島、ニューカレドニア,サンゴ礁域,5cm,3m以深,透明な体に赤い斑点があり、サンゴの周囲をふわふわと泳ぎます。,アカモンサラサエビは透明な体に赤い斑点が特徴で、サンゴ礁域の周囲をふわふわと泳ぎます。体長は最大5cm程度で、サンゴの枝の間を優雅に移動する様子が観察できます。特に夜間は活発に活動するため、ナイトダイビングで観察するチャンスが増えます。美しい体色を活かすには、バックライトで撮影すると効果的です。
アカネサラサエビ,Cinetorhynchus biani,小笠原諸島、琉球列島、台湾、マーシャル諸島、ハワイ、フランス領ポリネシア,サンゴ礁域,4cm,3m以深,赤みがかった透明な体で、サンゴの枝の間を移動します。,アカネサラサエビは赤みがかった透明な体が特徴で、サンゴ礁域の枝の間を移動します。体長は最大4cm程度で、比較的観察しやすいサイズです。サンゴの健康状態を示す指標種として知られており、サンゴ礁の生態系を理解する上で重要な種です。動きがゆっくりしているため、撮影もしやすい被写体です。
ヒボタンサラサエビ,Cinetorhynchus concolor,八丈島以南、オーストラリア北部、ハワイ,サンゴ礁域,4cm,15m,鮮やかな赤い体で、水深15m付近のサンゴ礁に生息します。,ヒボタンサラサエビは鮮やかな赤い体が特徴で、水深15m付近のサンゴ礁に生息します。体長は最大4cm程度で、サンゴの枝の間を優雅に移動する様子が観察できます。特に求愛期にはオスがメスの周りでダンスのような行動を見せることがあります。赤い体色を活かした撮影には、自然光を活用するのがおすすめです。
オオサンゴサラサエビ,Cinetorhynchus striatus,奄美大島以南、フィリピン、ニューカレドニア,サンゴ礁域,8cm,10m,大型のサラサエビで、サンゴ礁の根元付近に生息します。,オオサンゴサラサエビは大型のサラサエビで、体長は最大8cmに達します。サンゴ礁の根元付近に生息し、比較的観察しやすいサイズです。透明な体に縞模様があり、サンゴの周囲をゆっくり移動します。特に夜間は活発に活動するため、ナイトダイビングで観察するチャンスが増えます。生態調査の対象としても重要な種です。
サンゴサラサエビ,Cinetorhynchus hendersoni,真鶴半島以南、東南アジア、ハワイ、オーストラリア、フランス領ポリネシア、インド洋、紅海,サンゴ礁域,4cm,3m,透明な体に薄い縞模様があり、サンゴの枝の間を移動します。,サンゴサラサエビは透明な体に薄い縞模様が特徴で、サンゴ礁域の枝の間を移動します。体長は最大4cm程度で、比較的観察しやすいサイズです。サンゴの健康状態を示す指標種として知られており、サンゴ礁の生態系を理解する上で重要な種です。動きがゆっくりしているため、撮影もしやすい被写体です。
エンヤサラサエビ,Cinetorhynchus reticulatus,八丈島以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海,サンゴ礁域,4cm,14m,網目状の模様が特徴で、水深14m付近のサンゴ礁に生息します。,エンヤサラサエビは網目状の模様が特徴で、水深14m付近のサンゴ礁に生息します。体長は最大4cm程度で、サンゴの枝の間を優雅に移動する様子が観察できます。特に求愛期にはオスがメスの周りでダンスのような行動を見せることがあります。独特の模様を活かした撮影には、マクロレンズが最適です。
フリソデエビ,Hymenocera picta,駿河湾以南、ハワイ、フランス領ポリネシア、東部太平洋、インド洋、紅海,サンゴ礁域,3cm,6m,鮮やかな青と黄色の模様で、ヒトデを捕食する特殊な生態を持ちます。,フリソデエビは鮮やかな青と黄色の模様が特徴で、ヒトデを専門に捕食する特殊な生態を持ちます。体長は最大3cm程度で、サンゴ礁域に生息します。ヒトデの上で生活する様子が観察でき、その美しい体色とのコントラストが印象的です。撮影時はヒトデとの共生関係を表現すると、より興味深い写真になります。
トゲツノメエビ,Phyllognathia ceratophthalma,鹿児島湾以南、インドネシア、ニューカレドニア、モルジブ諸島,岩礁の岩穴、サンゴ礁域,2.5cm,5m以深,小さな体にトゲ状の突起があり、赤と白の縞模様が特徴。岩陰に隠れることが多い。,トゲツノメエビは体長約2.5cmで、赤と白の縞模様と頭部のトゲ状の突起が特徴です。岩礁の岩穴やサンゴ礁域に生息し、岩陰に隠れる習性があります。ダイビング中は、岩の隙間を注意深く観察すると見つけることができます。小さくて動きが素早いため、ゆっくりと近づくことがポイントです。撮影時はマクロレンズを使うと、その細かい模様を捉えられます。
サガミツノメエビ,Phyllognathia simplex,伊豆半島以南、パプアニューギニア、オーストラリア北部,深場の岩礁、サンゴ礁域,0.8cm,30m以深,非常に小さく透明な体で、深海の岩礁に生息。目立たないが、注意深く観察すると発見できる。,サガミツノメエビは体長わずか0.8cmと非常に小さく、透明な体が特徴です。深場の岩礁やサンゴ礁域に生息しており、目立たないため見つけるのが難しいです。ダイビング中は、岩の表面やサンゴの隙間をゆっくりと観察すると、時折その姿を確認できます。マクロレンズを使った撮影がおすすめで、その繊細な体の構造を捉えることができます。
ヨコシマエビ,Gnathophyllum americanum,相模湾以南、東南アジア、オーストラリア、ハワイ、フランス領ポリネシア、インド洋、大西洋,サンゴ礁域、転石帯,2cm,2m以深,透明な体に黒い横縞模様があり、ウニやイソギンチャクと共生。,ヨコシマエビは透明な体に黒い横縞模様が特徴で、体長約2cmです。ウニやイソギンチャクと共生しており、それらの周辺を探すと見つけやすくなります。ダイビング中は、ウニの棘の間やイソギンチャクの触手間を注意深く観察しましょう。動きが緩やかなため、撮影もしやすいです。共生関係を観察するのも興味深いポイントです。
バイプウニエビ,Lissocaris mammillata,小笠原諸島、琉球諸島、東南アジア、マーシャル諸島、ハワイ,ウニの体表,1cm,3～15m,小さな赤いエビで、ウニの体表に張り付いている。ウニの棘の間で見つかる。,バイプウニエビは体長約1cmで、赤い体色が特徴です。ウニの体表に張り付いて生活しており、ウニの棘の間で見つかることが多いです。ダイビング中は、ウニを注意深く観察すると、その小さな姿を確認できます。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウニとの共生関係も観察のポイントです。
イソスジエビ,Palaemon pacificus,北海道以南、香港、ハワイ、インド洋、紅海,潮間帯の藻場、岩礁,3cm,0～3m,透明な体に茶色の縦縞があり、潮だまりや浅瀬でよく見られる。,イソスジエビは透明な体に茶色の縦縞が特徴で、体長約3cmです。潮間帯の藻場や岩礁に生息しており、潮だまりや浅瀬でよく見られます。ダイビング中は、岩の表面や海藻の間を注意深く観察すると見つけることができます。動きが素早いため、ゆっくりと近づくことがポイントです。撮影時は、その縞模様を際立たせるために背景を選ぶと良いでしょう。
スジエビモドキ,Palaemon serrifer,北海道以南、香港、東南アジア、インド洋東部,潮間帯の藻場、岩礁,3cm,0～3m,透明な体に黒い縦縞があり、浅瀬の岩陰に隠れる。イソスジエビに似ている。,スジエビモドキは透明な体に黒い縦縞が特徴で、体長約3cmです。潮間帯の藻場や岩礁に生息しており、浅瀬の岩陰に隠れる習性があります。イソスジエビに似ていますが、縞模様のパターンで見分けることができます。ダイビング中は、岩の隙間や海藻の間を注意深く観察しましょう。動きが素早いため、ゆっくりと近づくことがポイントです。
フウライテナガエビ,Brachycarpus biunguiculatus,八丈島以南、ニューカレドニア、フランス領ポリネシア、インド洋、地中海、大西洋,サンゴ礁域、岩礁,6cm,3m以深,長い触角が特徴で、体は透明に近い。岩陰やサンゴの隙間に隠れる。,フウライテナガエビは体長約6cmで、長い触角が特徴です。体は透明に近く、岩陰やサンゴの隙間に隠れる習性があります。ダイビング中は、岩の隙間やサンゴの周辺を注意深く観察すると見つけることができます。動きが緩やかなため、撮影もしやすいです。長い触角を活かしたユニークな姿は、撮影の良い被写体になります。
コガラシエビ,Leandrites cyrtorhynchus,琉球列島、東南アジア、ニューカレドニア,サンゴ礁域、岩礁,2.3cm,5m以深,小さな体に赤と白の模様があり、サンゴの枝間に隠れる。,コガラシエビは体長約2.3cmで、赤と白の模様が特徴です。サンゴ礁域や岩礁に生息しており、サンゴの枝間に隠れる習性があります。ダイビング中は、サンゴの枝間を注意深く観察すると見つけることができます。小さくて動きが素早いため、ゆっくりと近づくことがポイントです。マクロレンズを使った撮影がおすすめで、その鮮やかな模様を捉えられます。
ソリハシコモンエビ,Urocaridella sp. 1,八丈島以南、東南アジア、紅海,サンゴ礁域、岩礁,2cm,5m以深,透明な体に赤い斑点があり、岩陰やサンゴの隙間に隠れる。,ソリハシコモンエビは体長約2cmで、透明な体に赤い斑点が特徴です。サンゴ礁域や岩礁に生息しており、岩陰やサンゴの隙間に隠れる習性があります。ダイビング中は、岩の隙間やサンゴの周辺を注意深く観察すると見つけることができます。動きが緩やかなため、撮影もしやすいです。赤い斑点が目立つため、マクロレンズで撮影するとより鮮明に捉えられます。
クリアクリーナーシュリンプ,Urocaridella antonbruunii,伊豆半島以南、オーストラリア北部、インド洋,サンゴ礁域、岩礁,3.5cm,5m以深,透明な体に青と白の縞模様があり、クリーニング行動を行う。,クリアクリーナーシュリンプは体長約3.5cmで、透明な体に青と白の縞模様が特徴です。サンゴ礁域や岩礁に生息しており、他の魚の体表をクリーニングする行動が観察できます。ダイビング中は、魚が集まっている場所を探すと見つけやすくなります。クリーニング行動は撮影の良い被写体になるため、じっくりと観察しましょう。その美しい模様も魅力の一つです。
ベンテンコモンエビ,Urocaridella sp. 2,八丈島以南、東南アジア、ニューカレドニア、インド洋,サンゴ礁域、岩礁,2cm,5m以深,透明な体に赤い斑点があり、岩陰やサンゴの隙間に隠れる。,ベンテンコモンエビは体長約2cmで、透明な体に赤い斑点が特徴です。サンゴ礁域や岩礁に生息しており、岩陰やサンゴの隙間に隠れる習性があります。ダイビング中は、岩の隙間やサンゴの周辺を注意深く観察すると見つけることができます。動きが緩やかなため、撮影もしやすいです。赤い斑点が目立つため、マクロレンズで撮影するとより鮮明に捉えられます。
カヅキコモンエビ,Urocaridella sp. 3,奄美大島以南、オーストラリア北部,サンゴ礁域、岩礁,2cm,5m以深,透明な体に赤い斑点があり、サンゴの枝間に隠れる。,カヅキコモンエビは体長約2cmで、透明な体に赤い斑点が特徴です。サンゴ礁域や岩礁に生息しており、サンゴの枝間に隠れる習性があります。ダイビング中は、サンゴの枝間を注意深く観察すると見つけることができます。小さくて動きが素早いため、ゆっくりと近づくことがポイントです。マクロレンズを使った撮影がおすすめで、その鮮やかな模様を捉えられます。
ウミシダカクレエビ,Palaemonella poti,伊豆半島以南、東南アジア、ニューカレドニア、マーシャル諸島、インド洋,ウミシダの体表,1.5cm,3～40m,小さな透明なエビで、ウミシダの腕に張り付いている。,ウミシダカクレエビは体長約1.5cmで、透明な体が特徴です。ウミシダの腕に張り付いて生活しており、ウミシダを注意深く観察すると見つかることが多いです。ダイビング中は、ウミシダの腕の間を注意深く観察しましょう。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウミシダとの共生関係も観察のポイントです。
シサンゴカクレエビ,Palaemonella rostrum,相模湾以南、東南アジア、ハワイ、フランス領ポリネシア、インド洋、紅海、地中海東部,サンゴの枝間,3.5cm,1～5m,透明な体に赤い斑点があり、サンゴの枝間に隠れる。,シサンゴカクレエビは体長約3.5cmで、透明な体に赤い斑点が特徴です。サンゴの枝間に隠れる習性があり、ダイビング中はサンゴの枝間を注意深く観察すると見つけることができます。動きが緩やかなため、撮影もしやすいです。赤い斑点が目立つため、マクロレンズで撮影するとより鮮明に捉えられます。サンゴとの共生関係も興味深い観察ポイントです。
バブルコーラルシュリンプ,Vir philippinensis,琉球列島、フィリピン、オーストラリア北部,バブルコーラルの周辺,2cm,3～40m,透明な体に赤い斑点があり、バブルコーラルと共生。,バブルコーラルシュリンプは体長約2cmで、透明な体に赤い斑点が特徴です。バブルコーラルと共生しており、その周辺を探すと見つけやすくなります。ダイビング中は、バブルコーラルのポリプの間を注意深く観察しましょう。動きが少ないため、撮影もしやすいです。共生関係を観察するのも興味深いポイントです。マクロレンズを使うと、その細かい模様を捉えられます。
アカヒゲカクレエビ,Vir sp.,琉球列島,サンゴの枝間,2cm,3～40m,透明な体に赤いひげがあり、サンゴの枝間に隠れる。,アカヒゲカクレエビは体長約2cmで、透明な体に赤いひげが特徴です。サンゴの枝間に隠れる習性があり、ダイビング中はサンゴの枝間を注意深く観察すると見つけることができます。動きが緩やかなため、撮影もしやすいです。赤いひげが目立つため、マクロレンズで撮影するとより鮮明に捉えられます。サンゴとの共生関係も興味深い観察ポイントです。
エンマカクレエビ,Periclimenes spinifer,琉球列島以南、東南アジア、フランス領ポリネシア、インド洋、紅海,ウミシダの体表,2cm,3m以深,透明な体に黒い斑点があり、ウミシダの腕に張り付いている。,エンマカクレエビは体長約2cmで、透明な体に黒い斑点が特徴です。ウミシダの腕に張り付いて生活しており、ウミシダを注意深く観察すると見つかることが多いです。ダイビング中は、ウミシダの腕の間を注意深く観察しましょう。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウミシダとの共生関係も観察のポイントです。
テンボウカクレエビ,Periclimenes latescens,奄美大島以南、インドネシア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,ウミシダの体表,2cm,3～15m,透明な体に黄色い斑点があり、ウミシダの腕に張り付いている。,テンボウカクレエビは体長約2cmで、透明な体に黄色い斑点が特徴です。ウミシダの腕に張り付いて生活しており、ウミシダを注意深く観察すると見つかることが多いです。ダイビング中は、ウミシダの腕の間を注意深く観察しましょう。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウミシダとの共生関係も観察のポイントです。
ロングクロウシュリンプ,Periclimenes tenuipes,琉球列島以南、東南アジア、オーストラリア北部、インド洋、紅海,ウミシダの体表,3.5cm,3m以深,透明な体に長い脚があり、ウミシダの腕に張り付いている。,ロングクロウシュリンプは体長約3.5cmで、透明な体に長い脚が特徴です。ウミシダの腕に張り付いて生活しており、ウミシダを注意深く観察すると見つかることが多いです。ダイビング中は、ウミシダの腕の間を注意深く観察しましょう。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウミシダとの共生関係も観察のポイントです。
オシャレカクレエビ,Periclimenes magnificus,琉球列島以南、インドネシア、オーストラリア北部,ウミシダの体表,3cm,3m以深,透明な体に鮮やかな模様があり、ウミシダの腕に張り付いている。,オシャレカクレエビは体長約3cmで、透明な体に鮮やかな模様が特徴です。ウミシダの腕に張り付いて生活しており、ウミシダを注意深く観察すると見つかることが多いです。ダイビング中は、ウミシダの腕の間を注意深く観察しましょう。動きが少ないため、撮影もしやすいですが、マクロレンズを使うとより詳細に捉えられます。ウミシダとの共生関係も観察のポイントです。
コロールアネモネシュリンプ,Periclimenes koroensis,フィリピン、パラオ、オーストラリア北部,サンゴ礁域、イソギンチャク共生,2.5cm,10m以深,透明な体に赤と白のストライプ模様が美しく、イソギンチャクの触手間を軽やかに移動します。,透明な体に鮮やかな赤と白のストライプ模様が特徴で、主にイソギンチャクと共生しています。体長約2.5cmと小さく、イソギンチャクの触手間を素早く移動する様子が観察できます。ダイビング中は、色鮮やかなイソギンチャクを探すと見つけやすく、近づいても逃げないため撮影に最適です。特にフィリピンやパラオのサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。
テナガカクレエビ,Periclimenes grandis,伊豆半島以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,サンゴ礁域、岩礁の隙間,2cm,1m以深,透明な体に細かな青い斑点があり、長い触角が特徴で、岩陰にひそんでいます。,透明な体に細かな青い斑点が散りばめられ、長い触角が目立つエビです。体長約2cmで、岩礁の隙間やサンゴの陰にひそんでいることが多く、じっとしていることが多いです。ダイビング中は、岩陰をゆっくり探すと見つけやすく、動きがゆっくりなため撮影しやすいです。東南アジアやオーストラリア北部のサンゴ礁でよく見られ、共生関係の観察にも適しています。
シオダマリカクレエビ,Periclimenes elegans,琉球列島以南、東南アジア、オーストラリア北部、フランス領ポリネシア、インド洋、紅海,サンゴ礁域、転石帯,2cm,3m以深,透明な体に赤と白の斑点があり、ウミシダやサンゴの上でじっとしています。,透明な体に赤と白の斑点が散らばり、ウミシダやサンゴの上でじっとしていることが多いエビです。体長約2cmで、動きがゆっくりなため、ダイビング中はウミシダやサンゴを注意深く観察すると見つけやすくなります。琉球列島以南のサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。撮影時は、ゆっくり近づくと逃げないため、クローズアップショットがおすすめです。
アカスジカクレエビ,Periclimenes psamathe,伊豆半島以南、東南アジア、オーストラリア北部、ニューカレドニア、インド洋,サンゴ礁域、岩礁の岩穴,2cm,10～30m,透明な体に赤い縦縞が目立ち、岩穴やサンゴの隙間でひそんでいます。,透明な体に鮮やかな赤い縦縞が特徴で、岩穴やサンゴの隙間でひそんでいることが多いエビです。体長約2cmで、動きがゆっくりなため、ダイビング中は岩穴を注意深く探すと見つけやすくなります。伊豆半島以南のサンゴ礁でよく見られ、共生関係の観察にも適しています。撮影時は、ストロボの光を反射させると美しい体色が引き立ちます。
イソギンチャクエビ,Periclimenes brevicarpalis,房総半島以南、東南アジア、オーストラリア北部、インド洋、紅海,サンゴ礁域、イソギンチャク共生,3cm,5～20m,透明な体にオレンジと白の斑点があり、イソギンチャクの触手間を軽やかに移動します。,透明な体にオレンジと白の斑点が特徴で、主にイソギンチャクと共生しています。体長約3cmとやや大きく、イソギンチャクの触手間を素早く移動する様子が観察できます。ダイビング中は、色鮮やかなイソギンチャクを探すと見つけやすく、近づいても逃げないため撮影に最適です。房総半島以南のサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。
アカホシカクレエビ,Periclimenes sp.2,相模湾～琉球列島,サンゴ礁域、岩礁の隙間,3cm,7～40m,透明な体に赤い星状の斑点があり、岩陰にひそんでいます。,透明な体に赤い星状の斑点が散りばめられ、岩礁の隙間やサンゴの陰にひそんでいることが多いエビです。体長約3cmで、動きがゆっくりなため、ダイビング中は岩陰をゆっくり探すと見つけやすくなります。相模湾～琉球列島のサンゴ礁でよく見られ、共生関係の観察にも適しています。撮影時は、ストロボの光を反射させると美しい体色が引き立ちます。
ドフライエアシュリンプ,Periclimenes sp.3,伊豆半島～九州,深場の岩礁域、転石帯,2cm,15～70m,透明な体に青白い斑点があり、深場の岩陰にひそんでいます。,透明な体に青白い斑点が特徴で、深場の岩礁域や転石帯にひそんでいることが多いエビです。体長約2cmで、動きがゆっくりなため、ダイビング中は深場の岩陰を注意深く探すと見つけやすくなります。伊豆半島～九州の深場でよく見られ、共生関係の面白い生態を観察できます。撮影時は、ライトを当てると美しい体色が浮かび上がります。
ニセアカホシカクレエビ,Periclimenes ututu,琉球列島以南、フィリピン、オーストラリア北部,サンゴ礁域、イソギンチャク共生,2.5cm,5～20m,透明な体に赤と白の斑点があり、イソギンチャクの触手間を軽やかに移動します。,透明な体に赤と白の斑点が特徴で、主にイソギンチャクと共生しています。体長約2.5cmで、イソギンチャクの触手間を素早く移動する様子が観察できます。ダイビング中は、色鮮やかなイソギンチャクを探すと見つけやすく、近づいても逃げないため撮影に最適です。琉球列島以南のサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。
オドリカクレエビ,Periclimenes magnificus,伊豆半島以南、フィリピン、インドネシア、オーストラリア北部,サンゴ礁域、ウミシダ共生,2.5cm,5～30m,透明な体に紫と白の縞模様があり、ウミシダの上でじっとしています。,透明な体に紫と白の縞模様が特徴で、主にウミシダと共生しています。体長約2.5cmで、ウミシダの上でじっとしていることが多く、動きがゆっくりなため、ダイビング中はウミシダを注意深く観察すると見つけやすくなります。伊豆半島以南のサンゴ礁でよく見られ、共生関係の観察にも適しています。撮影時は、ゆっくり近づくと逃げないため、クローズアップショットがおすすめです。
カザリイソギンチャクエビ,Periclimenes ornatus,房総半島以南、香港、インドネシア、オーストラリア北部、インド洋西部、紅海,サンゴ礁域、イソギンチャク共生,2.5cm,5～30m,透明な体に黄色と白の斑点があり、イソギンチャクの触手間を軽やかに移動します。,透明な体に黄色と白の斑点が特徴で、主にイソギンチャクと共生しています。体長約2.5cmで、イソギンチャクの触手間を素早く移動する様子が観察できます。ダイビング中は、色鮮やかなイソギンチャクを探すと見つけやすく、近づいても逃げないため撮影に最適です。房総半島以南のサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。
ホシナシイソギンチャクエビ,Periclimenes inornatus,琉球列島以南、インドネシア、オーストラリア北部、インド洋,サンゴ礁域、イソギンチャク共生,2.5cm,5～20m,透明な体に白い斑点があり、イソギンチャクの触手間を軽やかに移動します。,透明な体に白い斑点が特徴で、主にイソギンチャクと共生しています。体長約2.5cmで、イソギンチャクの触手間を素早く移動する様子が観察できます。ダイビング中は、色鮮やかなイソギンチャクを探すと見つけやすく、近づいても逃げないため撮影に最適です。琉球列島以南のサンゴ礁でよく見られ、共生関係の面白い生態を観察できます。
ウミウシカクレエビ,Periclimenes imperator,駿河湾以南、インドネシア、オーストラリア北部、ハワイ、インド洋、紅海,サンゴ礁域、ウミウシ共生,2cm,5～30m,透明な体に青と白の縞模様があり、ウミウシの上でじっとしています。,透明な体に青と白の縞模様が特徴で、主にウミウシと共生しています。体長約2cmで、ウミウシの上でじっとしていることが多く、動きがゆっくりなため、ダイビング中はウミウシを注意深く観察すると見つけやすくなります。駿河湾以南のサンゴ礁でよく見られ、共生関係の観察にも適しています。撮影時は、ゆっくり近づくと逃げないため、クローズアップショットがおすすめです。
ヒトデヤドリエビ,Zenopontonia noverca,伊豆半島以南、東南アジア、コロンビア、インド洋、紅海,サンゴ礁域、ヒトデ共生,1.5cm,5～30m,透明な体に赤い斑点があり、ヒトデの上でじっとしています。,透明な体に赤い斑点が特徴で、主にヒトデと共生しています。体長約1.5cmで、ヒトデの上でじっとしていることが多く、動きがゆっくりなため、ダイビング中はヒトデを注意深く観察すると見つけやすくなります。伊豆半島以南のサンゴ礁でよく見られ、共生関係の観察にも適しています。撮影時は、ゆっくり近づくと逃げないため、クローズアップショットがおすすめです。
